Approvable ID,count()
Invoice 57222,1
Invoice 129576,1
Invoice 135950,1
Invoice 119139,1
Invoice 18119,1
Invoice 34893,1
Invoice 95186,1
Invoice 34952,1
Invoice 8093,1
Invoice 137684,1
Invoice 79125,1
Invoice 117064,1
Invoice 133630,1
Invoice 97310,1
Invoice 15672,1
Invoice 100199,1
Invoice 25615,1
Invoice 29650,1
Invoice 88620,1
Invoice 136501,1
Invoice 133580,1
Invoice 125674,1
Invoice 106550,1
Invoice 60143,1
Invoice 61634,1
Invoice 34782,1
Invoice 87571,1
Invoice 104242,1
Invoice 99004,1
Invoice 38340,1
Invoice 20436,1
Invoice 137181,1
Invoice 126874,1
Invoice 14435,1
Invoice 114902,1
Invoice 35938,1
Invoice 104204,1
Invoice 89284,1
Invoice 81048,1
Invoice 136248,1
Invoice 13665,1
Invoice 22822,1
Invoice 103215,1
Invoice 125805,1
Invoice 1231,1
Invoice 86921,1
Invoice 23518,1
Invoice 61308,1
Invoice 79746,1
Invoice 123371,1
Invoice 2968,1
Invoice 113824,1
Invoice 100314,1
Invoice 101211,1
Invoice 39670,1
Invoice 128444,1
Invoice 21308,1
Invoice 27322,1
Invoice 35317,1
Invoice 55938,1
Invoice 106389,1
Invoice 111640,1
Invoice 59158,1
Invoice 117370,1
Invoice 64793,1
Invoice 39037,1
Invoice 36784,1
Invoice 43240,1
Invoice 82009,1
Invoice 71695,1
Invoice 94018,1
Invoice 3233,1
Invoice 6680,1
Invoice 43163,1
Invoice 56306,1
Invoice 24822,1
Invoice 67575,1
Invoice 43511,1
Invoice 58495,1
Invoice 99767,1
Invoice 90396,1
Invoice 36099,1
Invoice 139923,1
Invoice 139379,1
Invoice 122936,1
Invoice 25735,1
Invoice 3478,1
Invoice 52821,1
Invoice 103186,1
Invoice 108786,1
Invoice 99392,1
Invoice 59919,1
Invoice 138053,1
Invoice 66840,1
Invoice 9862,1
Invoice 28745,1
Invoice 71151,1
Invoice 79834,1
Invoice 48869,1
Invoice 8600,1
Invoice 15764,1
Invoice 112811,1
Invoice 52740,1
Invoice 73443,1
Invoice 83731,1
Invoice 80664,1
Invoice 127370,1
Invoice 44177,1
Invoice 69123,1
Invoice 105386,1
Invoice 59185,1
Invoice 128347,1
Invoice 9729,1
Invoice 113291,1
Invoice 137930,1
Invoice 68852,1
Invoice 135421,1
Invoice 6428,1
Invoice 126615,1
Invoice 100175,1
Invoice 127504,1
Invoice 83140,1
Invoice 38054,1
Invoice 85181,1
Invoice 112153,1
Invoice 34247,1
Invoice 39972,1
Invoice 108390,1
Invoice 22661,2
Invoice 46386,1
Invoice 105751,1
Invoice 84171,1
Invoice 59605,1
Invoice 124200,1
Invoice 63942,1
Invoice 10940,1
Invoice 109233,1
Invoice 36878,1
Invoice 115755,1
Invoice 16859,1
Invoice 123147,1
Invoice 60656,1
Invoice 98844,1
Invoice 126196,1
Invoice 108439,1
Invoice 16377,1
Invoice 110886,1
Invoice 85511,1
Invoice 66793,1
Invoice 9860,1
Invoice 67842,1
Invoice 10954,1
Invoice 102333,1
Invoice 128175,1
Invoice 30091,1
Invoice 12606,1
Invoice 112490,1
Invoice 72971,2
Invoice 2679,1
Invoice 66270,1
Invoice 90344,1
Invoice 3022,2
Invoice 120419,1
Invoice 39903,1
Invoice 132952,1
Invoice 9655,1
Invoice 11453,1
Invoice 97695,1
Invoice 42620,1
Invoice 7533,1
Invoice 131071,1
Invoice 134739,2
Invoice 110924,2
Invoice 79041,2
Invoice 109958,2
Invoice 137492,2
Invoice 77302,1
Invoice 16159,1
Invoice 69981,1
Invoice 120352,1
Invoice 36605,1
Invoice 66202,1
Invoice 61338,1
Invoice 147133,2
Invoice 130271,1
Invoice 151421,1
Invoice 80149,1
Invoice 98958,1
Invoice 81806,1
Invoice 36398,1
Invoice 156192,1
Invoice 78433,1
Invoice 142250,1
Invoice 63337,1
Invoice 143352,1
Invoice 45555,1
Invoice 143640,1
Invoice 95171,1
Invoice 145467,1
Invoice 16832,1
Invoice 147879,1
Invoice 121957,1
Invoice 146637,1
Invoice 145089,2
Invoice 91504,1
Invoice 150094,1
Invoice 122889,1
Invoice 143953,1
Invoice 135219,1
Invoice 98334,1
Invoice 138893,1
Invoice 58761,1
Invoice 108983,1
Invoice 44242,1
Invoice 125293,1
Invoice 44023,1
Invoice 115495,1
Invoice 147836,1
Invoice 15731,1
Invoice 147580,1
Invoice 26311,1
Invoice 70936,1
Invoice 121610,1
Invoice 36502,1
Invoice 60867,1
Invoice 28230,1
Invoice 59722,1
Invoice 137345,1
Invoice 92417,2
Invoice 99527,1
Invoice 159137,2
Invoice 7217,1
Invoice 105770,1
Invoice 33221,1
Invoice 92116,1
Invoice 147655,1
Invoice 73238,1
Invoice 126533,1
Invoice 122324,1
Invoice 76779,1
Invoice 48097,1
Invoice 45508,2
Invoice 85586,1
Invoice 113532,1
Invoice 90622,1
Invoice 75984,1
Invoice 11880,1
Invoice 126550,1
Invoice 8467,1
Invoice 24748,1
Invoice 133441,1
Invoice 27037,1
Invoice 13203,1
Invoice 41523,1
Invoice 51735,1
Invoice 37895,1
Invoice 64546,1
Invoice 66531,1
Invoice 133742,1
Invoice 19504,1
Invoice 65583,1
Invoice 91858,1
Invoice 37923,1
Invoice 99239,1
Invoice 33031,1
Invoice 83348,1
Invoice 27883,1
Invoice 109666,1
Invoice 44219,1
Invoice 102147,1
Invoice 20865,1
Invoice 144225,1
Invoice 130250,1
Invoice 16773,1
Invoice 44855,1
Invoice 93415,1
Invoice 81211,1
Invoice 111404,1
Invoice 119936,1
Invoice 26878,1
Invoice 56301,1
Invoice 49770,1
Invoice 36378,1
Invoice 35501,1
Invoice 26677,1
Invoice 105539,2
Invoice 18750,1
Invoice 111728,1
Invoice 2574,1
Invoice 82585,1
Invoice 21996,1
Invoice 36291,1
Invoice 106915,1
Invoice 58429,1
Invoice 1209,1
Invoice 137435,1
Invoice 58446,1
Invoice 120665,1
Invoice 133745,1
Invoice 95736,1
Invoice 139235,1
Invoice 97626,1
Invoice 79245,1
Invoice 1895,1
Invoice 136594,1
Invoice 111819,1
Invoice 62829,1
Invoice 93975,1
Invoice 98987,1
Invoice 28898,1
Invoice 34694,1
Invoice 65636,1
Invoice 65791,1
Invoice 63436,1
Invoice 61887,1
Invoice 9172,1
Invoice 64021,1
Invoice 48637,1
Invoice 106554,1
Invoice 37400,1
Invoice 19329,1
Invoice 95675,1
Invoice 104705,1
Invoice 100361,1
Invoice 87899,1
Invoice 79811,1
Invoice 5920,1
Invoice 62881,1
Invoice 82791,1
Invoice 58624,1
Invoice 18643,1
Invoice 50395,1
Invoice 138623,1
Invoice 51183,1
Invoice 123596,1
Invoice 15189,1
Invoice 17647,1
Invoice 74146,1
Invoice 118468,1
Invoice 99723,1
Invoice 101834,1
Invoice 4951,1
Invoice 3375,1
Invoice 23792,1
Invoice 101429,1
Invoice 114146,1
Invoice 55983,1
Invoice 66707,1
Invoice 106017,1
Invoice 87423,1
Invoice 28311,1
Invoice 45308,1
Invoice 97351,1
Invoice 88193,1
Invoice 126044,1
Invoice 90544,1
Invoice 110820,1
Invoice 92427,1
Invoice 141144,1
Invoice 93203,1
Invoice 106648,1
Invoice 24716,1
Invoice 6912,1
Invoice 7715,1
Invoice 134181,1
Invoice 104584,1
Invoice 123060,1
Invoice 110338,1
Invoice 84990,1
Invoice 43070,1
Invoice 13518,1
Invoice 84601,1
Invoice 45411,1
Invoice 96293,1
Invoice 5089,1
Invoice 42098,1
Invoice 41056,1
Invoice 46357,1
Invoice 126013,1
Invoice 136998,1
Invoice 127135,1
Invoice 128706,1
Invoice 31746,1
Invoice 5592,1
Invoice 113911,1
Invoice 51642,1
Invoice 125922,1
Invoice 97077,1
Invoice 101915,1
Invoice 75194,1
Invoice 131819,1
Invoice 115055,1
Invoice 108244,1
Invoice 112713,1
Invoice 75488,1
Invoice 21811,1
Invoice 74993,1
Invoice 68259,1
Invoice 2577,1
Invoice 12634,1
Invoice 130015,1
Invoice 46175,1
Invoice 55189,1
Invoice 48852,1
Invoice 28437,1
Invoice 7610,1
Invoice 82357,1
Invoice 107554,1
Invoice 52336,1
Invoice 17347,1
Invoice 135800,1
Invoice 118519,1
Invoice 65525,1
Invoice 63656,1
Invoice 139612,1
Invoice 9059,1
Invoice 86326,1
Invoice 76488,1
Invoice 95753,1
Invoice 12504,1
Invoice 23262,1
Invoice 34526,1
Invoice 114606,1
Invoice 78045,1
Invoice 60246,1
Invoice 134948,1
Invoice 81613,1
Invoice 23464,1
Invoice 87962,1
Invoice 132440,1
Invoice 38751,1
Invoice 11140,1
Invoice 98443,1
Invoice 136286,1
Invoice 95287,1
Invoice 94157,1
Invoice 72350,1
Invoice 96123,1
Invoice 72645,1
Invoice 92185,1
Invoice 53314,1
Invoice 71216,1
Invoice 20648,1
Invoice 117029,1
Invoice 122975,1
Invoice 121755,1
Invoice 116828,1
Invoice 97520,1
Invoice 137549,1
Invoice 14910,1
Invoice 130277,1
Invoice 113991,1
Invoice 57950,1
Invoice 117139,1
Invoice 133372,1
Invoice 21936,1
Invoice 20905,1
Invoice 67755,1
Invoice 74251,1
Invoice 54009,1
Invoice 118646,1
Invoice 131807,1
Invoice 54431,1
Invoice 22248,1
Invoice 76259,1
Invoice 77246,1
Invoice 127922,1
Invoice 115193,1
Invoice 124113,1
Invoice 103655,1
Invoice 20856,1
Invoice 114092,1
Invoice 117132,1
Invoice 132201,1
Invoice 26587,1
Invoice 124042,1
Invoice 64688,1
Invoice 67394,1
Invoice 72604,1
Invoice 92548,1
Invoice 83181,1
Invoice 44710,1
Invoice 129282,1
Invoice 82655,1
Invoice 57083,1
Invoice 84251,1
Invoice 1434,1
Invoice 64959,1
Invoice 103391,1
Invoice 78079,1
Invoice 27707,1
Invoice 140351,1
Invoice 108482,1
Invoice 112915,1
Invoice 105840,1
Invoice 37493,1
Invoice 23646,1
Invoice 75566,1
Invoice 128213,1
Invoice 4757,1
Invoice 112611,1
Invoice 98718,1
Invoice 137110,1
Invoice 102201,1
Invoice 16548,1
Invoice 120353,1
Invoice 103602,1
Invoice 58920,1
Invoice 116687,1
Invoice 9169,1
Invoice 53119,1
Invoice 118429,1
Invoice 68359,1
Invoice 102996,1
Invoice 27620,1
Invoice 25503,1
Invoice 4593,1
Invoice 45001,1
Invoice 42025,1
Invoice 55704,1
Invoice 111847,1
Invoice 97311,1
Invoice 119559,1
Invoice 100828,1
Invoice 53691,1
Invoice 17836,1
Invoice 72909,1
Invoice 751,1
Invoice 124944,1
Invoice 121778,1
Invoice 88602,1
Invoice 90316,1
Invoice 132148,1
Invoice 98180,1
Invoice 49753,1
Invoice 37150,1
Invoice 61966,1
Invoice 88157,1
Invoice 12560,1
Invoice 35864,1
Invoice 78965,1
Invoice 56015,1
Invoice 82768,1
Invoice 133973,1
Invoice 104723,1
Invoice 130788,1
Invoice 13708,1
Invoice 138547,1
Invoice 52831,1
Invoice 60568,1
Invoice 80010,1
Invoice 139700,1
Invoice 5542,1
Invoice 126199,1
Invoice 145023,1
Invoice 81170,1
Invoice 11697,1
Invoice 24208,1
Invoice 81669,1
Invoice 60999,1
Invoice 119175,1
Invoice 1842,1
Invoice 124481,1
Invoice 35738,1
Invoice 68137,1
Invoice 76482,1
Invoice 64942,1
Invoice 53848,1
Invoice 125452,1
Invoice 132895,1
Invoice 119151,1
Invoice 120690,1
Invoice 82608,1
Invoice 117304,1
Invoice 43881,1
Invoice 34243,1
Invoice 96130,1
Invoice 33659,1
Invoice 135561,1
Invoice 8346,1
Invoice 14515,1
Invoice 10597,1
Invoice 5516,1
Invoice 88990,1
Invoice 38867,1
Invoice 66784,1
Invoice 122848,1
Invoice 34539,1
Invoice 113389,1
Invoice 15896,1
Invoice 38909,1
Invoice 35224,1
Invoice 22399,1
Invoice 25714,1
Invoice 76168,1
Invoice 82296,1
Invoice 114589,1
Invoice 53265,1
Invoice 7404,1
Invoice 9821,1
Invoice 131595,1
Invoice 41992,1
Invoice 79871,1
Invoice 89007,1
Invoice 83888,1
Invoice 80894,1
Invoice 79931,1
Invoice 47132,1
Invoice 122945,1
Invoice 76750,1
Invoice 76390,1
Invoice 134624,1
Invoice 22339,1
Invoice 158983,1
Invoice 149809,1
Invoice 75969,1
Invoice 77431,1
Invoice 123180,1
Invoice 83475,1
Invoice 3240,1
Invoice 150885,1
Invoice 104238,1
Invoice 149799,1
Invoice 85940,1
Invoice 121659,1
Invoice 66277,1
Invoice 39221,1
Invoice 22415,1
Invoice 89526,1
Invoice 15613,1
Invoice 3091,1
Invoice 77277,1
Invoice 2566,1
Invoice 41124,1
Invoice 87484,1
Invoice 86821,1
Invoice 95273,1
Invoice 63816,1
Invoice 23880,1
Invoice 62344,1
Invoice 57179,1
Invoice 76352,1
Invoice 4549,1
Invoice 7493,1
Invoice 36100,1
Invoice 28161,1
Invoice 41813,1
Invoice 116073,1
Invoice 47950,1
Invoice 36273,1
Invoice 117776,1
Invoice 104387,1
Invoice 10892,1
Invoice 97332,1
Invoice 50595,1
Invoice 19132,1
Invoice 87251,1
Invoice 65833,1
Invoice 45067,1
Invoice 8064,1
Invoice 53164,1
Invoice 63517,1
Invoice 3468,1
Invoice 27307,1
Invoice 32294,1
Invoice 99534,1
Invoice 50077,1
Invoice 20088,1
Invoice 44311,1
Invoice 157725,1
Invoice 82676,1
Invoice 141723,1
Invoice 57002,1
Invoice 46,1
Invoice 133755,1
Invoice 88071,1
Invoice 37854,1
Invoice 123227,1
Invoice 122666,1
Invoice 20733,1
Invoice 122061,1
Invoice 1224,1
Invoice 19258,1
Invoice 40092,1
Invoice 64001,1
Invoice 25692,1
Invoice 37129,1
Invoice 107172,1
Invoice 81741,1
Invoice 117151,1
Invoice 50516,1
Invoice 29359,1
Invoice 57755,1
Invoice 120520,1
Invoice 3580,1
Invoice 16123,1
Invoice 30975,1
Invoice 35455,1
Invoice 4827,1
Invoice 50095,1
Invoice 45476,1
Invoice 85440,1
Invoice 127795,1
Invoice 134214,1
Invoice 135869,1
Invoice 97754,1
Invoice 100988,1
Invoice 76868,1
Invoice 36976,1
Invoice 105554,1
Invoice 44921,1
Invoice 131028,1
Invoice 51393,1
Invoice 147195,1
Invoice 105552,1
Invoice 9280,1
Invoice 33868,1
Invoice 10044,1
Invoice 5966,1
Invoice 9481,1
Invoice 11575,1
Invoice 58373,1
Invoice 67638,1
Invoice 132505,1
Invoice 105897,1
Invoice 31369,1
Invoice 75869,1
Invoice 107525,1
Invoice 7327,1
Invoice 45371,1
Invoice 94377,1
Invoice 128732,1
Invoice 65651,1
Invoice 118546,1
Invoice 99149,1
Invoice 39204,1
Invoice 45846,1
Invoice 118813,1
Invoice 53858,1
Invoice 124026,1
Invoice 101395,1
Invoice 137205,1
Invoice 119007,1
Invoice 17724,1
Invoice 136369,1
Invoice 113013,1
Invoice 149556,1
Invoice 126062,1
Invoice 30692,1
Invoice 12267,1
Invoice 156256,1
Invoice 127096,1
Invoice 146526,1
Invoice 90878,1
Invoice 146990,1
Invoice 86027,1
Invoice 156818,1
Invoice 8137,1
Invoice 1389,1
Invoice 118505,1
Invoice 75544,1
Invoice 111833,1
Invoice 60192,1
Invoice 125492,1
Invoice 49607,1
Invoice 71462,1
Invoice 20150,1
Invoice 62746,1
Invoice 51985,1
Invoice 58390,1
Invoice 4050,1
Invoice 139416,1
Invoice 131545,1
Invoice 66787,1
Invoice 94424,1
Invoice 64842,1
Invoice 101114,1
Invoice 63161,1
Invoice 94888,1
Invoice 46347,1
Invoice 6515,1
Invoice 40511,1
Invoice 16038,1
Invoice 123933,1
Invoice 111410,1
Invoice 38261,1
Invoice 125742,1
Invoice 10081,1
Invoice 151366,1
Invoice 116782,1
Invoice 1089,1
Invoice 16430,1
Invoice 121590,1
Invoice 138410,1
Invoice 34668,1
Invoice 113472,1
Invoice 34500,1
Invoice 77117,1
Invoice 24870,1
Invoice 89933,1
Invoice 23479,1
Invoice 138343,1
Invoice 142279,1
Invoice 147025,1
Invoice 143288,1
Invoice 148253,1
Invoice 156158,1
Invoice 151378,1
Invoice 148851,1
Invoice 149644,1
Invoice 70906,1
Invoice 156067,1
Invoice 148233,1
Invoice 146191,1
Invoice 144656,1
Invoice 156096,1
Invoice 150215,1
Invoice 157970,1
Invoice 147515,1
Invoice 151719,1
Invoice 42260,1
Invoice 151937,1
Invoice 151809,1
Invoice 152659,1
Invoice 70418,1
Invoice 152551,1
Invoice 146271,1
Invoice 155991,1
Invoice 148502,1
Invoice 153324,1
Invoice 13816,1
Invoice 151332,1
Invoice 148931,1
Invoice 143324,1
Invoice 152513,1
Invoice 145399,1
Invoice 154724,1
Invoice 149431,1
Invoice 144049,1
Invoice 151465,1
Invoice 152438,1
Invoice 149627,1
Invoice 152475,1
Invoice 153872,1
Invoice 152614,1
Invoice 142037,1
Invoice 159242,1
Invoice 145423,1
Invoice 158895,1
Invoice 38677,1
Invoice 154880,1
Invoice 144653,1
Invoice 148774,1
Invoice 142220,1
Invoice 142654,1
Invoice 149932,1
Invoice 150233,1
Invoice 154434,1
Invoice 143633,1
Invoice 142764,1
Invoice 156962,1
Invoice 144290,1
Invoice 155753,1
Invoice 152562,1
Invoice 144383,1
Invoice 146079,1
Invoice 146569,1
Invoice 158022,1
Invoice 151204,1
Invoice 141997,1
Invoice 150873,1
Invoice 142716,1
Invoice 157455,1
Invoice 146968,1
Invoice 155034,1
Invoice 38639,1
Invoice 152218,1
Invoice 153674,1
Invoice 149780,1
Invoice 148539,1
Invoice 149241,1
Invoice 146623,1
Invoice 147374,1
Invoice 153599,1
Invoice 156620,1
Invoice 150104,1
Invoice 145804,1
Invoice 156475,1
Invoice 142338,1
Invoice 151897,1
Invoice 155759,1
Invoice 143199,1
Invoice 152597,1
Invoice 149578,1
Invoice 143282,1
Invoice 37423,1
Invoice 143733,1
Invoice 10469,2
Invoice 157916,1
Invoice 76481,1
Invoice 139633,1
Invoice 154599,1
Invoice 16902,2
Invoice 153535,1
Invoice 158648,1
Invoice 144068,1
Invoice 150008,1
Invoice 154348,1
Invoice 158522,1
Invoice 145805,1
Invoice 137628,1
Invoice 149812,1
Invoice 159101,1
Invoice 148634,1
Invoice 153713,1
Invoice 147663,1
Invoice 151244,1
Invoice 20676,1
Invoice 143040,1
Invoice 153850,1
Invoice 99762,1
Invoice 148818,1
Invoice 150673,1
Invoice 148230,1
Invoice 154775,1
Invoice 98229,2
Invoice 149959,1
Invoice 153342,1
Invoice 151974,1
Invoice 150120,1
Invoice 90087,1
Invoice 67466,1
Invoice 86189,1
Invoice 153364,1
Invoice 63763,1
Invoice 146005,1
Invoice 60853,1
Invoice 112465,1
Invoice 137312,1
Invoice 156839,1
Invoice 154442,1
Invoice 148597,1
Invoice 119948,1
Invoice 78482,1
Invoice 26566,1
Invoice 155447,1
Invoice 155869,1
Invoice 147369,1
Invoice 58119,1
Invoice 64071,1
Invoice 2745,1
Invoice 149096,1
Invoice 5624,2
Invoice 41799,1
Invoice 25380,1
Invoice 144631,1
Invoice 149194,1
Invoice 153765,1
Invoice 44307,1
Invoice 157932,1
Invoice 79371,1
Invoice 150309,1
Invoice 158860,1
Invoice 142269,1
Invoice 151464,1
Invoice 147208,1
Invoice 126387,1
Invoice 21631,1
Invoice 149017,1
Invoice 149042,1
Invoice 65608,2
Invoice 57374,1
Invoice 18344,1
Invoice 144065,1
Invoice 50509,1
Invoice 151528,1
Invoice 88442,1
Invoice 15337,1
Invoice 158673,1
Invoice 124676,1
Invoice 145661,1
Invoice 156383,1
Invoice 12133,1
Invoice 146619,1
Invoice 142253,1
Invoice 157113,1
Invoice 157510,1
Invoice 95179,2
Invoice 60351,1
Invoice 142708,1
Invoice 157407,1
Invoice 93820,1
Invoice 57893,1
Invoice 150479,1
Invoice 155627,1
Invoice 105039,1
Invoice 1081,1
Invoice 143649,1
Invoice 156183,1
Invoice 144689,1
Invoice 127801,1
Invoice 8219,1
Invoice 154945,1
Invoice 156551,1
Invoice 150491,1
Invoice 133671,1
Invoice 113678,1
Invoice 153807,1
Invoice 159264,1
Invoice 155418,1
Invoice 97702,2
Invoice 122274,2
Invoice 2292,1
Invoice 153692,1
Invoice 150077,1
Invoice 154773,1
Invoice 108572,2
Invoice 57529,1
Invoice 128977,1
Invoice 57410,1
Invoice 58789,1
Invoice 53607,1
Invoice 147762,1
Invoice 144805,1
Invoice 145566,1
Invoice 92705,1
Invoice 12372,1
Invoice 141077,1
Invoice 156532,1
Invoice 146902,1
Invoice 150424,1
Invoice 123815,1
Invoice 62196,1
Invoice 142882,1
Invoice 124644,1
Invoice 154091,1
Invoice 156047,1
Invoice 156131,1
Invoice 149079,1
Invoice 49916,1
Invoice 114789,1
Invoice 111405,1
Invoice 149143,1
Invoice 154206,1
Invoice 144950,1
Invoice 145008,1
Invoice 135233,1
Invoice 40001,1
Invoice 148368,1
Invoice 129189,1
Invoice 19425,1
Invoice 151205,1
Invoice 147291,1
Invoice 144606,1
Invoice 78908,1
Invoice 150946,1
Invoice 129562,1
Invoice 153098,1
Invoice 90119,1
Invoice 120308,1
Invoice 146658,1
Invoice 156134,1
Invoice 154832,1
Invoice 79345,1
Invoice 62349,1
Invoice 53999,1
Invoice 150449,1
Invoice 152816,1
Invoice 137810,1
Invoice 18436,1
Invoice 32399,1
Invoice 145673,1
Invoice 143679,1
Invoice 145671,1
Invoice 7263,1
Invoice 151220,1
Invoice 19725,1
Invoice 149044,1
Invoice 147446,1
Invoice 148729,1
Invoice 146550,1
Invoice 149470,1
Invoice 150703,1
Invoice 39312,1
Invoice 99323,3
Invoice 148346,1
Invoice 146561,1
Invoice 147962,1
Invoice 148152,1
Invoice 68912,2
Invoice 142781,1
Invoice 115455,1
Invoice 78876,1
Invoice 30221,1
Invoice 156148,1
Invoice 148499,1
Invoice 62614,1
Invoice 69361,1
Invoice 158694,1
Invoice 132842,2
Invoice 105645,2
Invoice 154326,1
Invoice 158625,1
Invoice 143624,1
Invoice 81621,1
Invoice 103888,1
Invoice 30015,3
Invoice 142870,1
Invoice 142413,1
Invoice 149461,1
Invoice 149759,1
Invoice 137421,1
Invoice 17558,1
Invoice 4359,2
Invoice 148340,1
Invoice 143110,1
Invoice 152401,1
Invoice 137428,1
Invoice 34392,1
Invoice 49893,3
Invoice 148820,1
Invoice 158157,1
Invoice 37965,1
Invoice 155632,1
Invoice 99356,1
Invoice 155892,1
Invoice 80315,1
Invoice 157198,1
Invoice 155686,1
Invoice 9296,2
Invoice 80304,1
Invoice 146531,1
Invoice 150890,1
Invoice 51660,1
Invoice 101337,1
Invoice 127477,2
Invoice 150124,1
Invoice 154438,1
Invoice 143740,1
Invoice 155226,1
Invoice 48622,2
Invoice 157648,1
Invoice 147636,1
Invoice 69879,1
Invoice 149921,1
Invoice 43634,2
Invoice 155280,1
Invoice 144333,1
Invoice 59017,1
Invoice 99890,1
Invoice 156558,2
Invoice 150203,1
Invoice 145584,1
Invoice 2005,1
Invoice 74955,2
Invoice 136961,2
Invoice 157996,1
Invoice 153111,1
Invoice 153490,1
Invoice 157629,1
Invoice 129882,1
Invoice 158373,1
Invoice 152976,1
Invoice 149579,1
Invoice 109218,1
Invoice 56398,1
Invoice 148001,1
Invoice 145650,1
Invoice 141300,1
Invoice 43584,1
Invoice 146796,1
Invoice 155174,1
Invoice 156482,1
Invoice 154148,1
Invoice 123294,1
Invoice 47705,1
Invoice 147822,1
Invoice 142886,1
Invoice 132913,1
Invoice 53099,1
Invoice 153029,1
Invoice 159236,1
Invoice 154003,1
Invoice 130885,1
Invoice 144508,1
Invoice 32880,1
Invoice 148860,1
Invoice 143193,1
Invoice 92445,1
Invoice 158589,1
Invoice 148235,1
Invoice 81173,1
Invoice 141877,1
Invoice 151827,1
Invoice 147092,1
Invoice 148749,1
Invoice 151035,1
Invoice 117560,1
Invoice 89906,1
Invoice 147912,1
Invoice 142183,1
Invoice 70982,1
