Approvable ID,sum(Approver Count)
Invoice 134880,1
Invoice 83665,1
Invoice 21819,1
Invoice 29090,1
Invoice 96404,1
Invoice 14272,1
Invoice 56432,1
Invoice 114364,1
Invoice 38851,1
Invoice 1816,1
Invoice 133302,1
Invoice 99153,1
Invoice 81616,1
Invoice 32389,1
Invoice 15394,1
Invoice 122077,1
Invoice 1401,1
Invoice 112565,2
Invoice 101145,1
Invoice 68171,1
Invoice 28131,1
Invoice 14253,1
Invoice 94360,1
Invoice 98900,1
Invoice 8872,1
Invoice 12566,1
Invoice 61239,2
Invoice 70292,2
Invoice 105993,1
Invoice 107699,1
Invoice 24662,1
Invoice 71399,2
Invoice 26175,2
Invoice 125726,2
Invoice 6832,2
Invoice 41255,2
Invoice 55069,2
Invoice 79058,2
Invoice 74781,2
Invoice 6223,2
Invoice 125544,2
Invoice 141142,1
Invoice 79611,1
Invoice 98363,2
Invoice 103833,1
Invoice 110455,2
Invoice 139839,2
Invoice 82549,2
Invoice 20976,2
Invoice 140952,1
Invoice 121831,2
Invoice 131116,2
Invoice 59117,1
Invoice 116798,2
Invoice 93049,1
Invoice 47344,1
Invoice 160410,0
Invoice 128384,1
Invoice 103591,1
Invoice 138524,1
Invoice 65864,2
Invoice 63822,1
Invoice 93902,1
Invoice 70072,2
Invoice 38149,2
Invoice 112526,1
Invoice 108711,1
Invoice 88349,2
Invoice 135034,2
Invoice 7510,1
Invoice 69952,1
Invoice 139106,1
Invoice 110045,1
Invoice 117309,1
Invoice 118656,1
Invoice 400,2
Invoice 116616,1
Invoice 100798,2
Invoice 10533,1
Invoice 47947,1
Invoice 1857,1
Invoice 44025,1
Invoice 130957,1
Invoice 115673,1
Invoice 22881,1
Invoice 33259,7
Invoice 58341,1
Invoice 82045,1
Invoice 29486,2
Invoice 17015,2
Invoice 39177,1
Invoice 24565,1
Invoice 69488,1
Invoice 62147,1
Invoice 138702,1
Invoice 66659,1
Invoice 131439,1
Invoice 116042,1
Invoice 105082,1
Invoice 90911,2
Invoice 73273,2
Invoice 160735,3
Invoice 160097,3
Invoice 119905,1
Invoice 48043,1
Invoice 47318,1
Invoice 65323,1
Invoice 7959,1
Invoice 81661,1
Invoice 132808,1
Invoice 48806,1
Invoice 86152,1
Invoice 39135,1
Invoice 41562,1
Invoice 43726,1
Invoice 80890,3
Invoice 55833,1
Invoice 11767,2
Invoice 56862,1
Invoice 57222,2
Invoice 129576,1
Invoice 135950,2
Invoice 119139,1
Invoice 18119,1
Invoice 34893,2
Invoice 95186,2
Invoice 34952,2
Invoice 8093,2
Invoice 137684,2
Invoice 79125,2
Invoice 117064,1
Invoice 133630,2
Invoice 97310,2
Invoice 15672,2
Invoice 100199,1
Invoice 25615,2
Invoice 29650,2
Invoice 88620,2
Invoice 136501,2
Invoice 133580,2
Invoice 125674,1
Invoice 106550,2
Invoice 60143,1
Invoice 61634,2
Invoice 34782,2
Invoice 87571,2
Invoice 104242,2
Invoice 99004,3
Invoice 38340,3
Invoice 20436,2
Invoice 137181,2
Invoice 126874,2
Invoice 14435,2
Invoice 114902,2
Invoice 35938,3
Invoice 104204,2
Invoice 89284,2
Invoice 81048,2
Invoice 136248,1
Invoice 13665,1
Invoice 22822,2
Invoice 103215,2
Invoice 125805,2
Invoice 1231,2
Invoice 86921,2
Invoice 23518,2
Invoice 61308,1
Invoice 79746,1
Invoice 123371,2
Invoice 2968,2
Invoice 113824,2
Invoice 100314,4
Invoice 101211,2
Invoice 39670,2
Invoice 128444,2
Invoice 21308,2
Invoice 27322,2
Invoice 160294,0
Invoice 35317,1
Invoice 55938,1
Invoice 106389,2
Invoice 111640,2
Invoice 59158,3
Invoice 117370,2
Invoice 64793,3
Invoice 39037,2
Invoice 36784,1
Invoice 43240,1
Invoice 82009,2
Invoice 71695,3
Invoice 94018,2
Invoice 3233,1
Invoice 6680,1
Invoice 43163,3
Invoice 56306,2
Invoice 24822,2
Invoice 67575,2
Invoice 43511,1
Invoice 58495,2
Invoice 99767,1
Invoice 90396,1
Invoice 36099,1
Invoice 139923,2
Invoice 139379,2
Invoice 122936,1
Invoice 25735,1
Invoice 3478,2
Invoice 52821,2
Invoice 103186,1
Invoice 108786,1
Invoice 99392,1
Invoice 59919,1
Invoice 138053,2
Invoice 66840,1
Invoice 9862,1
Invoice 28745,1
Invoice 71151,1
Invoice 79834,2
Invoice 48869,2
Invoice 8600,1
Invoice 15764,3
Invoice 112811,2
Invoice 52740,1
Invoice 73443,2
Invoice 83731,2
Invoice 80664,1
Invoice 127370,2
Invoice 44177,1
Invoice 69123,2
Invoice 105386,1
Invoice 59185,2
Invoice 128347,1
Invoice 9729,2
Invoice 113291,2
Invoice 137930,1
Invoice 68852,2
Invoice 135421,2
Invoice 6428,1
Invoice 126615,1
Invoice 100175,1
Invoice 127504,1
Invoice 83140,1
Invoice 38054,1
Invoice 138114,1
Invoice 85181,2
Invoice 112153,2
Invoice 34247,1
Invoice 39972,1
Invoice 108390,2
Invoice 22661,1
Invoice 46386,2
Invoice 105751,2
Invoice 84171,2
Invoice 59605,2
Invoice 124200,2
Invoice 63942,2
Invoice 10940,2
Invoice 109233,2
Invoice 36878,2
Invoice 115755,2
Invoice 16859,2
Invoice 123147,2
Invoice 60656,2
Invoice 98844,2
Invoice 126196,2
Invoice 108439,2
Invoice 16377,2
Invoice 110886,2
Invoice 85511,2
Invoice 66793,2
Invoice 9860,2
Invoice 67842,2
Invoice 10954,2
Invoice 102333,2
Invoice 128175,2
Invoice 30091,2
Invoice 12606,2
Invoice 112490,2
Invoice 72971,1
Invoice 2679,1
Invoice 66270,1
Invoice 90344,1
Invoice 3022,1
Invoice 120419,1
Invoice 39903,1
Invoice 132952,1
Invoice 9655,2
Invoice 108108,1
Invoice 11453,2
Invoice 97695,1
Invoice 42620,1
Invoice 7533,2
Invoice 131071,1
Invoice 134739,1
Invoice 110924,1
Invoice 79041,1
Invoice 109958,1
Invoice 137492,1
Invoice 77302,1
Invoice 16159,1
Invoice 69981,2
Invoice 120352,2
Invoice 36605,2
Invoice 66202,2
Invoice 113091,1
Invoice 87355,1
Invoice 84560,1
Invoice 139104,1
Invoice 88142,1
Invoice 58218,1
Invoice 98569,1
Invoice 38267,1
Invoice 61338,1
Invoice 63267,1
Invoice 130271,1
Invoice 110952,1
Invoice 99682,1
Invoice 80149,1
Invoice 98958,1
Invoice 81806,1
Invoice 36398,1
Invoice 78433,1
Invoice 63337,1
Invoice 45555,1
Invoice 95171,1
Invoice 16832,1
Invoice 121957,1
Invoice 91504,1
Invoice 122889,1
Invoice 160288,1
Invoice 135219,1
Invoice 98334,2
Invoice 138893,1
Invoice 58761,2
Invoice 108983,2
Invoice 44242,1
Invoice 125293,1
Invoice 44023,1
Invoice 115495,1
Invoice 15731,1
Invoice 26311,1
Invoice 70936,1
Invoice 121610,1
Invoice 36502,1
Invoice 60867,1
Invoice 28230,1
Invoice 59722,1
Invoice 137345,1
Invoice 92417,2
Invoice 99527,2
Invoice 7217,2
Invoice 105770,2
Invoice 33221,2
Invoice 92116,2
Invoice 73238,2
Invoice 126533,2
Invoice 122324,2
Invoice 76779,2
Invoice 48097,3
Invoice 45508,1
Invoice 85586,2
Invoice 113532,2
Invoice 90622,2
Invoice 75984,2
Invoice 11880,2
Invoice 126550,2
Invoice 8467,2
Invoice 24748,2
Invoice 133441,2
Invoice 27037,2
Invoice 13203,2
Invoice 41523,2
Invoice 51735,2
Invoice 37895,1
Invoice 64546,1
Invoice 66531,1
Invoice 133742,1
Invoice 19504,1
Invoice 65583,1
Invoice 91858,1
Invoice 37923,2
Invoice 99239,2
Invoice 33031,2
Invoice 83348,2
Invoice 27883,2
Invoice 109666,2
Invoice 44219,2
Invoice 102147,1
Invoice 20865,1
Invoice 130250,1
Invoice 16773,2
Invoice 44855,2
Invoice 93415,2
Invoice 81211,2
Invoice 111404,2
Invoice 119936,2
Invoice 26878,2
Invoice 56301,2
Invoice 49770,2
Invoice 36378,2
Invoice 35501,2
Invoice 26677,2
Invoice 105539,1
Invoice 18750,2
Invoice 111728,2
Invoice 2574,2
Invoice 82585,2
Invoice 21996,2
Invoice 36291,2
Invoice 106915,2
Invoice 58429,2
Invoice 1209,1
Invoice 137435,1
Invoice 58446,1
Invoice 120665,2
Invoice 133745,3
Invoice 95736,2
Invoice 139235,1
Invoice 97626,1
Invoice 79245,1
Invoice 1895,1
Invoice 136594,2
Invoice 111819,2
Invoice 62829,2
Invoice 93975,2
Invoice 98987,2
Invoice 28898,2
Invoice 34694,2
Invoice 65636,2
Invoice 65791,2
Invoice 63436,2
Invoice 61887,1
Invoice 9172,2
Invoice 64021,2
Invoice 48637,1
Invoice 106554,1
Invoice 37400,1
Invoice 19329,2
Invoice 95675,2
Invoice 104705,1
Invoice 100361,1
Invoice 87899,2
Invoice 79811,1
Invoice 5920,2
Invoice 62881,2
Invoice 82791,2
Invoice 58624,1
Invoice 18643,2
Invoice 50395,2
Invoice 138623,2
Invoice 51183,2
Invoice 123596,2
Invoice 15189,3
Invoice 17647,3
Invoice 74146,2
Invoice 118468,2
Invoice 99723,2
Invoice 101834,2
Invoice 4951,2
Invoice 3375,2
Invoice 23792,2
Invoice 101429,2
Invoice 114146,2
Invoice 55983,2
Invoice 66707,2
Invoice 106017,2
Invoice 87423,2
Invoice 28311,2
Invoice 45308,2
Invoice 97351,2
Invoice 88193,2
Invoice 126044,2
Invoice 90544,2
Invoice 110820,2
Invoice 92427,2
Invoice 141144,2
Invoice 93203,2
Invoice 106648,2
Invoice 24716,2
Invoice 6912,2
Invoice 7715,2
Invoice 134181,2
Invoice 104584,2
Invoice 123060,2
Invoice 110338,2
Invoice 84990,2
Invoice 43070,2
Invoice 13518,2
Invoice 84601,2
Invoice 45411,2
Invoice 96293,2
Invoice 5089,2
Invoice 42098,2
Invoice 41056,2
Invoice 46357,2
Invoice 126013,2
Invoice 136998,2
Invoice 127135,2
Invoice 128706,2
Invoice 31746,1
Invoice 5592,2
Invoice 113911,2
Invoice 51642,2
Invoice 125922,2
Invoice 97077,2
Invoice 101915,2
Invoice 75194,2
Invoice 131819,2
Invoice 115055,2
Invoice 108244,2
Invoice 112713,2
Invoice 75488,2
Invoice 21811,2
Invoice 74993,2
Invoice 68259,2
Invoice 2577,2
Invoice 12634,2
Invoice 130015,2
Invoice 46175,2
Invoice 55189,2
Invoice 48852,2
Invoice 28437,2
Invoice 7610,2
Invoice 82357,2
Invoice 107554,2
Invoice 52336,2
Invoice 17347,2
Invoice 135800,2
Invoice 118519,2
Invoice 65525,2
Invoice 63656,2
Invoice 139612,2
Invoice 9059,2
Invoice 86326,2
Invoice 76488,2
Invoice 95753,2
Invoice 12504,2
Invoice 23262,2
Invoice 34526,2
Invoice 114606,2
Invoice 78045,2
Invoice 60246,2
Invoice 134948,2
Invoice 81613,2
Invoice 23464,2
Invoice 87962,2
Invoice 132440,2
Invoice 38751,2
Invoice 11140,2
Invoice 98443,2
Invoice 136286,2
Invoice 95287,2
Invoice 94157,2
Invoice 72350,2
Invoice 96123,2
Invoice 72645,2
Invoice 92185,2
Invoice 53314,2
Invoice 71216,2
Invoice 20648,2
Invoice 117029,2
Invoice 122975,2
Invoice 121755,2
Invoice 116828,2
Invoice 97520,2
Invoice 137549,2
Invoice 14910,2
Invoice 130277,2
Invoice 113991,2
Invoice 57950,2
Invoice 117139,2
Invoice 133372,2
Invoice 21936,2
Invoice 20905,2
Invoice 67755,2
Invoice 74251,2
Invoice 54009,2
Invoice 118646,2
Invoice 131807,2
Invoice 54431,2
Invoice 22248,2
Invoice 76259,2
Invoice 77246,2
Invoice 127922,2
Invoice 115193,2
Invoice 124113,2
Invoice 103655,2
Invoice 20856,2
Invoice 114092,2
Invoice 117132,2
Invoice 132201,2
Invoice 26587,2
Invoice 124042,2
Invoice 64688,2
Invoice 67394,2
Invoice 72604,2
Invoice 92548,2
Invoice 83181,2
Invoice 44710,2
Invoice 129282,2
Invoice 82655,2
Invoice 57083,2
Invoice 84251,2
Invoice 1434,2
Invoice 64959,2
Invoice 103391,2
Invoice 78079,2
Invoice 27707,2
Invoice 140351,2
Invoice 108482,2
Invoice 112915,2
Invoice 105840,2
Invoice 37493,1
Invoice 23646,1
Invoice 75566,2
Invoice 128213,2
Invoice 4757,2
Invoice 112611,1
Invoice 98718,2
Invoice 137110,2
Invoice 102201,2
Invoice 16548,2
Invoice 120353,2
Invoice 103602,2
Invoice 58920,2
Invoice 116687,2
Invoice 9169,2
Invoice 53119,1
Invoice 118429,1
Invoice 68359,1
Invoice 102996,1
Invoice 27620,1
Invoice 25503,2
Invoice 4593,2
Invoice 45001,2
Invoice 42025,2
Invoice 55704,1
Invoice 111847,1
Invoice 97311,1
Invoice 119559,1
Invoice 100828,1
Invoice 53691,2
Invoice 17836,1
Invoice 72909,2
Invoice 751,2
Invoice 124944,2
Invoice 121778,2
Invoice 88602,2
Invoice 90316,2
Invoice 132148,2
Invoice 98180,1
Invoice 49753,1
Invoice 37150,1
Invoice 61966,1
Invoice 88157,1
Invoice 12560,1
Invoice 35864,1
Invoice 78965,1
Invoice 56015,1
Invoice 82768,2
Invoice 133973,1
Invoice 104723,1
Invoice 130788,2
Invoice 13708,6
Invoice 138547,5
Invoice 37638,1
Invoice 52831,6
Invoice 60568,1
Invoice 80010,2
Invoice 139700,1
Invoice 5542,2
Invoice 126199,2
Invoice 81170,1
Invoice 11697,1
Invoice 24208,1
Invoice 81669,1
Invoice 60999,1
Invoice 119175,2
Invoice 1842,2
Invoice 124481,2
Invoice 35738,2
Invoice 68137,2
Invoice 76482,2
Invoice 60731,1
Invoice 64942,2
Invoice 53848,2
Invoice 125452,1
Invoice 132895,1
Invoice 119151,1
Invoice 120690,3
Invoice 82608,2
Invoice 4269,1
Invoice 117304,2
Invoice 43881,2
Invoice 34243,2
Invoice 96130,2
Invoice 33659,2
Invoice 135561,2
Invoice 8346,2
Invoice 14515,2
Invoice 10597,2
Invoice 5516,2
Invoice 88990,2
Invoice 38867,2
Invoice 66784,2
Invoice 122848,2
Invoice 34539,2
Invoice 113389,2
Invoice 15896,2
Invoice 38909,2
Invoice 35224,2
Invoice 22399,2
Invoice 25714,2
Invoice 76168,2
Invoice 82296,2
Invoice 114589,3
Invoice 53265,2
Invoice 7404,2
Invoice 9821,2
Invoice 131595,2
Invoice 41992,2
Invoice 79871,2
Invoice 89007,2
Invoice 83888,2
Invoice 80894,2
Invoice 79931,2
Invoice 47132,2
Invoice 122945,2
Invoice 76750,2
Invoice 76390,2
Invoice 134624,2
Invoice 22339,2
Invoice 75969,2
Invoice 77431,2
Invoice 123180,2
Invoice 83475,2
Invoice 3240,2
Invoice 104238,2
Invoice 85940,2
Invoice 121659,1
Invoice 19288,1
Invoice 66277,1
Invoice 27948,1
Invoice 43260,1
Invoice 93503,1
Invoice 39221,3
Invoice 22415,1
Invoice 89526,1
Invoice 15613,1
Invoice 3091,2
Invoice 77277,1
Invoice 2566,1
Invoice 41124,1
Invoice 87484,1
Invoice 86821,1
Invoice 95273,1
Invoice 63816,1
Invoice 23880,1
Invoice 62344,1
Invoice 57179,1
Invoice 76352,1
Invoice 4549,1
Invoice 7493,1
Invoice 36100,1
Invoice 28161,1
Invoice 41813,1
Invoice 116073,1
Invoice 47950,1
Invoice 36273,1
Invoice 117776,1
Invoice 104387,1
Invoice 10892,1
Invoice 97332,1
Invoice 50595,1
Invoice 19132,1
Invoice 87251,1
Invoice 65833,1
Invoice 45067,1
Invoice 8064,1
Invoice 53164,1
Invoice 63517,1
Invoice 3468,1
Invoice 27307,1
Invoice 32294,1
Invoice 99534,1
Invoice 50077,1
Invoice 20088,1
Invoice 44311,1
Invoice 82676,1
Invoice 141723,1
Invoice 159675,3
Invoice 159550,2
Invoice 62951,1
Invoice 160035,2
Invoice 57002,1
Invoice 46,1
Invoice 159517,2
Invoice 133755,1
Invoice 88071,1
Invoice 37854,1
Invoice 123227,1
Invoice 122666,1
Invoice 20733,1
Invoice 122061,1
Invoice 1224,1
Invoice 19258,1
Invoice 40092,1
Invoice 64001,1
Invoice 25692,1
Invoice 37129,1
Invoice 107172,1
Invoice 81741,1
Invoice 117151,1
Invoice 50516,1
Invoice 29359,1
Invoice 57755,1
Invoice 120520,1
Invoice 3580,1
Invoice 16123,1
Invoice 30975,1
Invoice 35455,1
Invoice 4827,1
Invoice 50095,1
Invoice 45476,1
Invoice 85440,2
Invoice 127795,2
Invoice 134214,2
Invoice 135869,1
Invoice 97754,1
Invoice 100988,1
Invoice 76868,1
Invoice 36976,1
Invoice 105554,1
Invoice 44921,2
Invoice 131028,1
Invoice 51393,1
Invoice 105552,1
Invoice 9280,1
Invoice 33868,2
Invoice 10044,2
Invoice 5966,2
Invoice 159830,3
Invoice 9481,1
Invoice 11575,1
Invoice 58373,1
Invoice 67638,1
Invoice 132505,1
Invoice 105897,2
Invoice 31369,1
Invoice 75869,1
Invoice 107525,1
Invoice 7327,1
Invoice 45371,1
Invoice 94377,1
Invoice 128732,1
Invoice 65651,1
Invoice 118546,1
Invoice 99149,2
Invoice 39204,1
Invoice 45846,2
Invoice 118813,2
Invoice 53858,2
Invoice 124026,2
Invoice 101395,1
Invoice 137205,1
Invoice 119007,1
Invoice 17724,2
Invoice 136369,2
Invoice 113013,2
Invoice 126062,2
Invoice 30692,1
Invoice 12267,2
Invoice 127096,2
Invoice 90878,2
Invoice 86027,2
Invoice 8137,2
Invoice 1389,1
Invoice 160469,0
Invoice 118505,2
Invoice 75544,2
Invoice 111833,2
Invoice 60192,2
Invoice 125492,2
Invoice 49607,2
Invoice 71462,2
Invoice 94936,1
Invoice 20150,2
Invoice 62746,2
Invoice 51985,1
Invoice 58390,2
Invoice 4050,1
Invoice 139416,1
Invoice 131545,3
Invoice 66787,2
Invoice 94424,1
Invoice 64842,2
Invoice 101114,2
Invoice 63161,1
Invoice 94888,1
Invoice 46347,1
Invoice 6515,2
Invoice 40511,1
Invoice 16038,1
Invoice 123933,1
Invoice 111410,2
Invoice 38261,1
Invoice 125742,1
Invoice 10081,1
Invoice 116782,1
Invoice 1089,1
Invoice 16430,1
Invoice 121590,1
Invoice 138410,2
Invoice 34668,2
Invoice 113472,1
Invoice 34500,1
Invoice 77117,1
Invoice 24870,2
Invoice 89933,1
Invoice 23479,2
Invoice 138343,2
Invoice 70906,1
Invoice 42260,3
Invoice 70418,2
Invoice 18122,1
Invoice 13816,1
Invoice 38677,1
Invoice 106818,1
Invoice 58759,1
Invoice 38639,2
Invoice 37423,1
Invoice 10469,1
Invoice 76481,2
Invoice 139633,2
Invoice 16902,2
Invoice 137628,2
Invoice 20676,2
Invoice 99762,2
Invoice 54019,1
Invoice 98229,1
Invoice 16941,1
Invoice 90087,2
Invoice 67466,2
Invoice 86189,2
Invoice 63763,2
Invoice 60853,2
Invoice 112465,2
Invoice 137312,2
Invoice 119948,2
Invoice 78482,2
Invoice 26566,2
Invoice 58119,2
Invoice 64071,2
Invoice 2745,2
Invoice 5624,2
Invoice 41799,2
Invoice 25380,2
Invoice 44307,1
Invoice 79371,2
Invoice 159923,0
Invoice 126387,2
Invoice 21631,2
Invoice 65608,1
Invoice 57374,2
Invoice 18344,2
Invoice 50509,2
Invoice 88442,2
Invoice 15337,2
Invoice 124676,2
Invoice 12133,2
Invoice 146619,0
Invoice 95179,1
Invoice 60351,3
Invoice 93820,3
Invoice 57893,1
Invoice 107056,1
Invoice 105039,2
Invoice 1081,2
Invoice 127801,2
Invoice 8219,2
Invoice 133671,2
Invoice 113678,2
Invoice 97702,1
Invoice 122274,2
Invoice 2292,2
Invoice 91459,1
Invoice 108572,2
Invoice 57529,2
Invoice 128977,0
Invoice 57410,2
Invoice 58789,2
Invoice 53607,2
Invoice 92705,2
Invoice 12372,2
Invoice 141077,2
Invoice 123815,2
Invoice 62196,2
Invoice 124644,2
Invoice 49916,2
Invoice 114789,2
Invoice 111405,2
Invoice 135233,2
Invoice 40001,2
Invoice 129189,2
Invoice 19425,2
Invoice 78908,2
Invoice 129562,1
Invoice 90119,2
Invoice 120308,2
Invoice 79345,2
Invoice 62349,2
Invoice 53999,2
Invoice 137810,2
Invoice 18436,2
Invoice 32399,2
Invoice 7263,2
Invoice 19725,2
Invoice 39312,2
Invoice 99323,2
Invoice 68912,1
Invoice 115455,2
Invoice 78876,2
Invoice 30221,2
Invoice 8238,1
Invoice 62614,2
Invoice 69361,2
Invoice 132842,2
Invoice 105645,2
Invoice 81621,2
Invoice 103888,2
Invoice 30015,2
Invoice 137421,2
Invoice 17558,2
Invoice 4359,2
Invoice 137428,2
Invoice 34392,2
Invoice 49893,2
Invoice 37965,3
Invoice 99356,2
Invoice 80315,2
Invoice 9296,2
Invoice 80304,1
Invoice 51660,2
Invoice 101337,2
Invoice 127477,2
Invoice 48622,2
Invoice 69879,2
Invoice 43634,2
Invoice 104529,1
Invoice 59017,2
Invoice 99890,2
Invoice 2005,2
Invoice 74955,2
Invoice 136961,1
Invoice 129882,2
Invoice 109218,2
Invoice 56398,2
Invoice 141300,2
Invoice 43584,2
Invoice 123294,2
Invoice 47705,2
Invoice 132913,2
Invoice 53099,2
Invoice 16210,1
Invoice 130885,2
Invoice 38636,1
Invoice 32880,2
Invoice 77928,1
Invoice 92445,2
Invoice 31728,1
Invoice 81173,2
Invoice 141877,2
Invoice 3012,1
Invoice 117560,2
Invoice 89906,3
Invoice 70982,1
Invoice 108044,2
Invoice 123031,1
Invoice 57817,2
Invoice 31670,2
Invoice 98865,2
Invoice 132356,2
Invoice 30068,2
Invoice 130888,2
Invoice 51410,2
Invoice 7690,1
Invoice 126295,2
Invoice 105933,2
Invoice 109049,2
Invoice 79104,2
Invoice 57075,2
Invoice 64299,2
Invoice 59776,2
Invoice 135609,2
Invoice 138558,2
Invoice 77216,1
Invoice 64863,2
Invoice 76426,2
Invoice 98979,2
Invoice 106929,2
Invoice 134367,2
Invoice 26323,1
Invoice 139867,2
Invoice 97521,2
Invoice 83615,2
Invoice 12475,2
Invoice 42128,1
Invoice 98283,1
Invoice 20838,2
Invoice 75376,2
Invoice 65882,2
Invoice 16675,2
Invoice 36801,2
Invoice 24091,3
Invoice 50030,2
Invoice 114453,2
Invoice 58619,1
Invoice 6378,1
Invoice 125326,2
Invoice 110257,2
Invoice 68464,2
Invoice 28695,2
Invoice 109287,2
Invoice 124650,2
Invoice 134415,2
Invoice 117430,2
Invoice 91715,1
Invoice 6537,2
Invoice 116059,2
Invoice 137554,2
Invoice 138865,2
Invoice 11738,2
Invoice 34006,2
Invoice 123251,2
Invoice 44726,2
Invoice 159116,2
Invoice 116027,1
Invoice 35065,2
Invoice 63024,2
Invoice 134945,2
Invoice 25001,1
Invoice 87686,2
Invoice 37121,2
Invoice 159851,2
Invoice 145031,0
Invoice 81748,3
Invoice 121150,1
Invoice 105353,2
Invoice 81037,2
Invoice 58219,2
Invoice 78404,2
Invoice 43934,2
Invoice 12704,2
Invoice 141761,2
Invoice 98401,3
Invoice 103564,2
Invoice 87153,2
Invoice 14070,2
Invoice 91380,2
Invoice 109440,2
Invoice 91730,2
Invoice 131586,2
Invoice 125775,2
Invoice 2840,2
Invoice 24829,2
Invoice 99199,2
Invoice 44906,2
Invoice 17471,2
Invoice 23359,1
Invoice 159639,1
Invoice 30608,2
Invoice 137244,2
Invoice 58331,2
Invoice 39000,2
Invoice 51162,2
Invoice 30833,3
Invoice 18820,3
Invoice 75973,2
Invoice 126431,2
Invoice 119138,3
Invoice 135916,3
Invoice 53204,2
Invoice 115839,3
Invoice 62960,2
Invoice 61262,2
Invoice 68024,2
Invoice 29642,2
Invoice 127213,2
Invoice 67957,1
Invoice 136341,2
Invoice 78917,1
Invoice 43986,2
Invoice 15771,2
Invoice 96786,2
Invoice 14181,1
Invoice 47861,2
Invoice 82952,2
Invoice 16820,2
Invoice 47395,2
Invoice 34425,2
Invoice 1751,1
Invoice 118031,2
Invoice 160103,2
Invoice 49212,2
Invoice 75958,2
Invoice 48026,2
Invoice 115376,2
Invoice 101475,3
Invoice 93245,1
Invoice 130264,2
Invoice 113124,2
Invoice 124507,2
Invoice 16275,2
Invoice 47267,1
Invoice 3394,1
Invoice 102238,2
Invoice 48128,2
Invoice 83162,2
Invoice 22899,2
Invoice 8341,1
Invoice 90898,1
Invoice 103481,2
Invoice 114413,2
Invoice 104356,2
Invoice 68364,2
Invoice 140983,2
Invoice 103402,1
Invoice 133826,2
Invoice 1930,1
Invoice 75619,2
Invoice 90017,1
Invoice 56276,2
Invoice 111797,2
Invoice 10580,2
Invoice 108317,2
Invoice 92164,2
Invoice 53776,2
Invoice 74653,2
Invoice 16235,2
Invoice 71433,2
Invoice 49994,1
Invoice 65143,2
Invoice 8068,2
Invoice 132629,1
Invoice 131936,1
Invoice 147864,0
Invoice 17178,2
Invoice 25242,2
Invoice 126461,2
Invoice 64668,2
Invoice 91742,1
Invoice 78694,1
Invoice 14963,2
Invoice 81046,1
Invoice 79409,2
Invoice 36534,2
Invoice 92773,2
Invoice 33112,2
Invoice 18545,2
Invoice 16826,1
Invoice 87967,2
Invoice 90971,2
Invoice 8466,2
Invoice 51550,2
Invoice 43009,2
Invoice 52924,1
Invoice 45989,1
Invoice 124508,2
Invoice 27850,2
Invoice 54746,2
Invoice 91246,1
Invoice 9525,2
Invoice 2550,2
Invoice 18514,2
Invoice 110080,2
Invoice 57122,2
Invoice 140657,2
Invoice 101185,2
Invoice 74441,1
Invoice 101015,1
Invoice 61773,2
Invoice 9054,1
Invoice 80363,2
Invoice 63730,2
Invoice 84064,1
Invoice 112852,2
Invoice 36306,1
Invoice 122031,2
Invoice 100504,1
Invoice 77339,2
Invoice 69285,2
Invoice 61824,2
Invoice 67657,2
Invoice 86375,1
Invoice 113104,2
