Invoice ID,sum(Invoice with Exception Count)
Invoice 209369,2
Invoice 57222,1
Invoice 232926,1
Invoice 177363,1
Invoice 125805,2
Invoice 23518,1
Invoice 263271,4
Invoice 207971,1
Invoice 265720,2
Invoice 220583,2
Invoice 183000,1
Invoice 251262,1
Invoice 230800,4
Invoice 248164,1
Invoice 209173,1
Invoice 270728,1
Invoice 275287,1
Invoice 222175,1
Invoice 179670,1
Invoice 234274,3
Invoice 191250,1
Invoice 168500,1
Invoice 200926,1
Invoice 264950,2
Invoice 236557,2
Invoice 250980,1
Invoice 177833,1
Invoice 214217,1
Invoice 205851,2
Invoice 164341,1
Invoice 183608,1
Invoice 177096,1
Invoice 256964,1
Invoice 212091,1
Invoice 191808,1
Invoice 270431,1
Invoice 209998,1
Invoice 166833,1
Invoice 276520,1
Invoice 265338,1
Invoice 208155,1
Invoice 170090,1
Invoice 256565,1
Invoice 181019,1
Invoice 230790,1
Invoice 202599,1
Invoice 164577,1
Invoice 238874,1
Invoice 201723,1
Invoice 192559,1
Invoice 270774,1
Invoice 212709,1
Invoice 216138,1
Invoice 216448,4
Invoice 250787,1
Invoice 237633,1
Invoice 171089,2
Invoice 233095,1
Invoice 229372,1
Invoice 255229,1
Invoice 177893,1
Invoice 195191,1
Invoice 185237,2
Invoice 211438,1
Invoice 205124,2
Invoice 229908,1
Invoice 200658,1
Invoice 224393,1
Invoice 194954,1
Invoice 175406,1
Invoice 172874,1
Invoice 246749,1
Invoice 264704,1
Invoice 164122,1
Invoice 222867,2
Invoice 191614,2
Invoice 275192,2
Invoice 183958,1
Invoice 184639,2
Invoice 192376,1
Invoice 163915,1
Invoice 221107,1
Invoice 210124,1
Invoice 251898,1
Invoice 173629,1
Invoice 265335,1
Invoice 38054,5
Invoice 213801,1
Invoice 190298,1
Invoice 265933,1
Invoice 266439,1
Invoice 239279,1
Invoice 211552,1
Invoice 222111,1
Invoice 185032,2
Invoice 236337,1
Invoice 249746,3
Invoice 259211,1
Invoice 208253,1
Invoice 181026,1
Invoice 223774,1
Invoice 255096,1
Invoice 271955,1
Invoice 175966,1
Invoice 234594,1
Invoice 229626,1
Invoice 250778,1
Invoice 138114,1
Invoice 183027,1
Invoice 195091,4
Invoice 237982,2
Invoice 217208,1
Invoice 39903,1
Invoice 231531,3
Invoice 226464,1
Invoice 108108,2
Invoice 255784,1
Invoice 236169,1
Invoice 257271,1
Invoice 212133,2
Invoice 273801,1
Invoice 42620,1
Invoice 219450,1
Invoice 113091,1
Invoice 263041,1
Invoice 87355,1
Invoice 247683,1
Invoice 84560,1
Invoice 139104,1
Invoice 88142,1
Invoice 58218,1
Invoice 98569,1
Invoice 38267,1
Invoice 175458,1
Invoice 247261,3
Invoice 215850,1
Invoice 208775,1
Invoice 188414,1
Invoice 201564,1
Invoice 221094,1
Invoice 194629,1
Invoice 183169,1
Invoice 176720,1
Invoice 190373,1
Invoice 63267,2
Invoice 193616,2
Invoice 235031,5
Invoice 193144,3
Invoice 201247,1
Invoice 110952,2
Invoice 99682,6
Invoice 253136,1
Invoice 178214,1
Invoice 198419,1
Invoice 254844,1
Invoice 197608,1
Invoice 189223,2
Invoice 156192,1
Invoice 142250,1
Invoice 205127,1
Invoice 160288,2
Invoice 125293,5
Invoice 206514,5
Invoice 215288,15
Invoice 258002,4
Invoice 245388,3
Invoice 196640,2
Invoice 253301,3
Invoice 91858,1
Invoice 237619,2
Invoice 102147,1
Invoice 144225,1
Invoice 119936,1
Invoice 26878,1
Invoice 49770,1
Invoice 36378,1
Invoice 35501,1
Invoice 26677,1
Invoice 105539,1
Invoice 18750,1
Invoice 111728,1
Invoice 2574,1
Invoice 82585,1
Invoice 137435,1
Invoice 58446,1
Invoice 253750,2
Invoice 272759,1
Invoice 264660,1
Invoice 249313,1
Invoice 243438,1
Invoice 249911,1
Invoice 205965,1
Invoice 213707,1
Invoice 226606,6
Invoice 229783,1
Invoice 18643,1
Invoice 31746,3
Invoice 37493,1
Invoice 195747,3
Invoice 21416,3
Invoice 238227,1
Invoice 195513,6
Invoice 204061,1
Invoice 241010,1
Invoice 226429,5
Invoice 274072,2
Invoice 185867,1
Invoice 247665,1
Invoice 233651,1
Invoice 195801,1
Invoice 209860,1
Invoice 174561,1
Invoice 245554,3
Invoice 198996,2
Invoice 176088,2
Invoice 266932,3
Invoice 233980,2
Invoice 253769,1
Invoice 260013,2
Invoice 102996,2
Invoice 97311,2
Invoice 119559,2
Invoice 88602,1
Invoice 243253,1
Invoice 196132,1
Invoice 175094,1
Invoice 197284,1
Invoice 35864,1
Invoice 78965,1
Invoice 214021,1
Invoice 254740,4
Invoice 210922,3
Invoice 219143,3
Invoice 262265,1
Invoice 201160,1
Invoice 191700,1
Invoice 265469,1
Invoice 181727,1
Invoice 37638,2
Invoice 60568,1
Invoice 200377,1
Invoice 212163,1
Invoice 221422,1
Invoice 68137,2
Invoice 76482,2
Invoice 228862,1
Invoice 270308,1
Invoice 269771,1
Invoice 262290,1
Invoice 208656,2
Invoice 227481,1
Invoice 249365,1
Invoice 276111,1
Invoice 184750,3
Invoice 60731,1
Invoice 237137,1
Invoice 186852,1
Invoice 218850,1
Invoice 180199,1
Invoice 242365,1
Invoice 206850,1
Invoice 268246,1
Invoice 245825,1
Invoice 271114,1
Invoice 119151,2
Invoice 4269,1
Invoice 241926,1
Invoice 254214,2
Invoice 203230,1
Invoice 261456,7
Invoice 192830,2
Invoice 158983,1
Invoice 149809,1
Invoice 231225,1
Invoice 176090,2
Invoice 173454,2
Invoice 19288,3
Invoice 198391,1
Invoice 245713,2
Invoice 237235,1
Invoice 176463,1
Invoice 232734,3
Invoice 237785,2
Invoice 254662,2
Invoice 27948,2
Invoice 43260,1
Invoice 194825,1
Invoice 93503,2
Invoice 269478,2
Invoice 202038,4
Invoice 192649,4
Invoice 231651,1
Invoice 209412,1
Invoice 254947,1
Invoice 260310,2
Invoice 258020,1
Invoice 218393,1
Invoice 203235,1
Invoice 231556,2
Invoice 209806,1
Invoice 171520,1
Invoice 271465,1
Invoice 254907,1
Invoice 171129,1
Invoice 190908,1
Invoice 251096,1
Invoice 273287,1
Invoice 268515,1
Invoice 256280,2
Invoice 221526,3
Invoice 263017,1
Invoice 220153,4
Invoice 217315,1
Invoice 173424,5
Invoice 228631,2
Invoice 200500,1
Invoice 185288,2
Invoice 224573,1
Invoice 201086,1
Invoice 224844,1
Invoice 180287,2
Invoice 201344,2
Invoice 264232,1
Invoice 247154,1
Invoice 181505,2
Invoice 178117,1
Invoice 268220,1
Invoice 228813,4
Invoice 198545,1
Invoice 188544,1
Invoice 164290,1
Invoice 201353,1
Invoice 171475,1
Invoice 186871,1
Invoice 184016,3
Invoice 164417,3
Invoice 236568,1
Invoice 228452,1
Invoice 233866,1
Invoice 253545,1
Invoice 163998,1
Invoice 274832,1
Invoice 198333,1
Invoice 235297,1
Invoice 267192,1
Invoice 241651,1
Invoice 219120,1
Invoice 167618,2
Invoice 199876,2
Invoice 173785,3
Invoice 177000,1
Invoice 233708,2
Invoice 200648,1
Invoice 177474,2
Invoice 176408,4
Invoice 211642,2
Invoice 236087,1
Invoice 209680,1
Invoice 159675,1
Invoice 271589,1
Invoice 225407,1
Invoice 267451,1
Invoice 159550,2
Invoice 165694,1
Invoice 62951,2
Invoice 275337,1
Invoice 215416,1
Invoice 245781,1
Invoice 160035,2
Invoice 241139,1
Invoice 269103,2
Invoice 159517,7
Invoice 169959,1
Invoice 247231,2
Invoice 221410,8
Invoice 200782,4
Invoice 243044,3
Invoice 276316,3
Invoice 198700,3
Invoice 4827,1
Invoice 182547,1
Invoice 268696,2
Invoice 212924,1
Invoice 213888,1
Invoice 173855,1
Invoice 180720,1
Invoice 207853,2
Invoice 270724,1
Invoice 243452,1
Invoice 244207,1
Invoice 221066,1
Invoice 236764,1
Invoice 249089,4
Invoice 184234,4
Invoice 212432,2
Invoice 208706,1
Invoice 250402,1
Invoice 201497,1
Invoice 184043,2
Invoice 226707,1
Invoice 232322,1
Invoice 253804,5
Invoice 219449,4
Invoice 260475,2
Invoice 276339,1
Invoice 208369,3
Invoice 262888,2
Invoice 242655,1
Invoice 220795,4
Invoice 233968,1
Invoice 200503,4
Invoice 166963,1
Invoice 250933,1
Invoice 195306,3
Invoice 269444,3
Invoice 167064,1
Invoice 259887,3
Invoice 5966,1
Invoice 159830,2
Invoice 249631,1
Invoice 219002,3
Invoice 186755,3
Invoice 113013,1
Invoice 30692,1
Invoice 12267,1
Invoice 94936,2
Invoice 256507,2
Invoice 64842,1
Invoice 63161,2
Invoice 46347,2
Invoice 181822,1
Invoice 40511,2
Invoice 253478,1
Invoice 231191,1
Invoice 16038,2
Invoice 256077,1
Invoice 123933,2
Invoice 203631,1
Invoice 176863,1
Invoice 38261,2
Invoice 151366,1
Invoice 195608,1
Invoice 179791,1
Invoice 267087,21
Invoice 24870,1
Invoice 23479,1
Invoice 229851,1
Invoice 167860,1
Invoice 218277,1
Invoice 204545,1
Invoice 200552,1
Invoice 142279,2
Invoice 148851,1
Invoice 70906,5
Invoice 272184,2
Invoice 264188,1
Invoice 264287,3
Invoice 18122,3
Invoice 153324,6
Invoice 13816,2
Invoice 22884,1
Invoice 152513,1
Invoice 163230,1
Invoice 144049,1
Invoice 174162,1
Invoice 207226,1
Invoice 217731,1
Invoice 38677,2
Invoice 106818,1
Invoice 150233,2
Invoice 196429,2
Invoice 243965,1
Invoice 143633,3
Invoice 200470,3
Invoice 144290,1
Invoice 176823,1
Invoice 210981,1
Invoice 270801,1
Invoice 144383,2
Invoice 146569,3
Invoice 161346,1
Invoice 173520,3
Invoice 238415,1
Invoice 141997,1
Invoice 157455,1
Invoice 146968,1
Invoice 265033,1
Invoice 58759,1
Invoice 155034,1
Invoice 152218,1
Invoice 267909,12
Invoice 163171,1
Invoice 148539,1
Invoice 177196,1
Invoice 153599,1
Invoice 255687,2
Invoice 145804,1
Invoice 156475,2
Invoice 162002,1
Invoice 248539,2
Invoice 236777,1
Invoice 142338,1
Invoice 193621,2
Invoice 179306,1
Invoice 272343,1
Invoice 174411,1
Invoice 195605,2
Invoice 152597,1
Invoice 165515,6
Invoice 143282,1
Invoice 37423,2
Invoice 253743,1
Invoice 143733,1
Invoice 76481,1
Invoice 175498,4
Invoice 216766,2
Invoice 154599,1
Invoice 240554,1
Invoice 196990,6
Invoice 153535,1
Invoice 200726,1
Invoice 208120,2
Invoice 158648,1
Invoice 240191,1
Invoice 172014,2
Invoice 150008,1
Invoice 154348,4
Invoice 223163,1
Invoice 209357,1
Invoice 145805,1
Invoice 266557,1
Invoice 223685,3
Invoice 243398,1
Invoice 237047,1
Invoice 272613,1
Invoice 153713,1
Invoice 241380,2
Invoice 229473,1
Invoice 177489,2
Invoice 194230,3
Invoice 242944,6
Invoice 153850,1
Invoice 218183,5
Invoice 243668,1
Invoice 169609,1
Invoice 225660,2
Invoice 148818,1
Invoice 54019,2
Invoice 148230,2
Invoice 154775,1
Invoice 16941,3
Invoice 153342,1
Invoice 151974,3
Invoice 222161,1
Invoice 161938,1
Invoice 150120,1
Invoice 146005,3
Invoice 156839,2
Invoice 154442,1
Invoice 184454,1
Invoice 149096,3
Invoice 223917,1
Invoice 185602,2
Invoice 194369,1
Invoice 149194,4
Invoice 195494,2
Invoice 224777,2
Invoice 271069,2
Invoice 153765,1
Invoice 44307,2
Invoice 209679,3
Invoice 179895,1
Invoice 157932,1
Invoice 199078,1
Invoice 180456,1
Invoice 179177,9
Invoice 197731,3
Invoice 168055,1
Invoice 149017,1
Invoice 184240,4
Invoice 161907,1
Invoice 144065,1
Invoice 254877,1
Invoice 238632,2
Invoice 203725,1
Invoice 212861,1
Invoice 242056,1
Invoice 171849,1
Invoice 174797,2
Invoice 256780,1
Invoice 142708,1
Invoice 189702,12
Invoice 57893,1
Invoice 107056,2
Invoice 275385,1
Invoice 244574,1
Invoice 97702,1
Invoice 91459,1
Invoice 165492,2
Invoice 153692,1
Invoice 162532,1
Invoice 199504,4
Invoice 245012,1
Invoice 186908,2
Invoice 180341,2
Invoice 216825,1
Invoice 205689,1
Invoice 241234,2
Invoice 172753,1
Invoice 154091,2
Invoice 149143,1
Invoice 267252,1
Invoice 186996,1
Invoice 151205,3
Invoice 237048,5
Invoice 150946,1
Invoice 189261,1
Invoice 129562,2
Invoice 197828,5
Invoice 213510,1
Invoice 146658,2
Invoice 221364,1
Invoice 183992,1
Invoice 150449,1
Invoice 186022,1
Invoice 32399,1
Invoice 143679,2
Invoice 201886,1
Invoice 19725,1
Invoice 148729,2
Invoice 225104,2
Invoice 206357,3
Invoice 178977,1
Invoice 147962,1
Invoice 148152,1
Invoice 174923,1
Invoice 232274,2
Invoice 214703,1
Invoice 8238,1
Invoice 148499,2
Invoice 245501,1
Invoice 267687,3
Invoice 268933,1
Invoice 258556,9
Invoice 172886,1
Invoice 148340,1
Invoice 273396,1
Invoice 222591,2
Invoice 267239,2
Invoice 158157,1
Invoice 182467,2
Invoice 173525,1
Invoice 247841,1
Invoice 234303,2
Invoice 226641,1
Invoice 273431,2
Invoice 210286,2
Invoice 268186,2
Invoice 234575,4
Invoice 204398,1
Invoice 234834,2
Invoice 80304,1
Invoice 150890,3
Invoice 211661,2
Invoice 201312,2
Invoice 150124,1
Invoice 143740,2
Invoice 247547,3
Invoice 189383,2
Invoice 155226,2
Invoice 181833,2
Invoice 248135,1
Invoice 236723,1
Invoice 144333,15
Invoice 104529,1
Invoice 237962,1
Invoice 206540,1
Invoice 169474,1
Invoice 193788,1
Invoice 262190,2
Invoice 153111,1
Invoice 270175,1
Invoice 152976,2
Invoice 223150,2
Invoice 185203,2
Invoice 148001,3
Invoice 219732,2
Invoice 248660,1
Invoice 155174,2
Invoice 162649,1
Invoice 221829,1
Invoice 235244,9
Invoice 259935,1
Invoice 229807,1
Invoice 224056,1
Invoice 191861,1
Invoice 16210,2
Invoice 38636,4
Invoice 191996,2
Invoice 242206,2
Invoice 148860,1
Invoice 193644,2
Invoice 77928,1
Invoice 176692,3
Invoice 31728,4
Invoice 158589,1
Invoice 210346,1
Invoice 273979,5
Invoice 3012,4
Invoice 142183,3
Invoice 70982,1
Invoice 186761,1
Invoice 256228,1
Invoice 148636,2
Invoice 156956,2
Invoice 157275,3
Invoice 231970,1
Invoice 149545,1
Invoice 162939,1
Invoice 196423,2
Invoice 155792,2
Invoice 207664,2
Invoice 200727,1
Invoice 170125,1
Invoice 142120,1
Invoice 175978,1
Invoice 224241,2
Invoice 154539,1
Invoice 161644,1
Invoice 217120,1
Invoice 7690,2
Invoice 150864,2
Invoice 244802,1
Invoice 236327,1
Invoice 241155,1
Invoice 156898,1
Invoice 228996,1
Invoice 144046,3
Invoice 199804,2
Invoice 219041,4
Invoice 145099,2
Invoice 229525,2
Invoice 150915,1
Invoice 145455,3
Invoice 77216,2
Invoice 254297,2
Invoice 153277,1
Invoice 230472,1
Invoice 143816,1
Invoice 154224,1
Invoice 163490,1
Invoice 214953,3
Invoice 222737,1
Invoice 256921,2
Invoice 147153,1
Invoice 150611,2
Invoice 157146,1
Invoice 198635,1
Invoice 143960,2
Invoice 237065,1
Invoice 155018,1
Invoice 142213,1
Invoice 152427,2
Invoice 161266,2
Invoice 161380,1
Invoice 98283,2
Invoice 227976,2
Invoice 20838,1
Invoice 170360,1
Invoice 75376,1
Invoice 191722,1
Invoice 222767,2
Invoice 201125,1
Invoice 200466,1
Invoice 223822,1
Invoice 215531,1
Invoice 152167,1
Invoice 155571,7
Invoice 214467,1
Invoice 252815,1
Invoice 185892,1
Invoice 153865,1
Invoice 157175,3
Invoice 91715,7
Invoice 272555,1
Invoice 172462,1
Invoice 158283,3
Invoice 155301,1
Invoice 168874,5
Invoice 226332,1
Invoice 213214,1
Invoice 225875,1
Invoice 144183,3
Invoice 155119,2
Invoice 261701,1
Invoice 159116,2
Invoice 116027,1
Invoice 161022,1
Invoice 159851,4
Invoice 178042,7
Invoice 258870,1
Invoice 146775,2
Invoice 222299,1
Invoice 218356,1
Invoice 154415,2
Invoice 148063,4
Invoice 147288,5
Invoice 225818,1
Invoice 154598,1
Invoice 204682,1
Invoice 160817,1
Invoice 236459,1
Invoice 201909,1
Invoice 151743,1
Invoice 148355,3
Invoice 156077,5
Invoice 217291,1
Invoice 250457,1
Invoice 155262,2
Invoice 265463,1
Invoice 161258,1
Invoice 159248,1
Invoice 159639,1
Invoice 142231,1
Invoice 158301,1
Invoice 178033,1
Invoice 191802,1
Invoice 184457,4
Invoice 222837,1
Invoice 270925,1
Invoice 148402,1
Invoice 205871,3
Invoice 150878,13
Invoice 142247,1
Invoice 78917,1
Invoice 156862,2
Invoice 235732,1
Invoice 253118,1
Invoice 269822,1
Invoice 160103,1
Invoice 246541,1
Invoice 146406,1
Invoice 147735,1
Invoice 158272,1
Invoice 154892,1
Invoice 145605,2
Invoice 264002,1
Invoice 143488,1
Invoice 149912,1
Invoice 153685,1
Invoice 180993,1
Invoice 189163,1
Invoice 271087,1
Invoice 155588,1
Invoice 146367,3
Invoice 142911,1
Invoice 172554,1
Invoice 234660,2
Invoice 150319,1
Invoice 148436,1
Invoice 150140,5
Invoice 222263,1
Invoice 3394,1
Invoice 155618,1
Invoice 150160,1
Invoice 151201,1
Invoice 145271,1
Invoice 155483,2
Invoice 209440,1
Invoice 148945,1
Invoice 150846,2
Invoice 103402,1
Invoice 191370,1
Invoice 220136,1
Invoice 155361,1
Invoice 168583,1
Invoice 157539,1
Invoice 174404,1
Invoice 219512,2
Invoice 228306,1
Invoice 147149,5
Invoice 209605,1
Invoice 150816,1
Invoice 167647,1
Invoice 182552,1
Invoice 273945,3
Invoice 264182,1
Invoice 215242,1
Invoice 223654,1
Invoice 145724,1
Invoice 177381,1
Invoice 132629,1
Invoice 163902,1
Invoice 154228,1
Invoice 152237,1
Invoice 202031,3
Invoice 144089,2
Invoice 145921,9
Invoice 153125,3
Invoice 197797,1
Invoice 156215,2
Invoice 152792,1
Invoice 197938,1
Invoice 156435,4
Invoice 78694,3
Invoice 255138,2
Invoice 148563,1
Invoice 148204,2
Invoice 157871,1
Invoice 152444,1
Invoice 33112,1
Invoice 183043,1
Invoice 150301,2
Invoice 90971,1
Invoice 8466,1
Invoice 156578,1
Invoice 27850,1
Invoice 18514,1
Invoice 162152,2
Invoice 140657,1
Invoice 250124,5
Invoice 163346,1
Invoice 158440,2
Invoice 161676,5
Invoice 143732,1
Invoice 153387,3
Invoice 151458,1
Invoice 36306,4
Invoice 157861,1
Invoice 151141,3
Invoice 156018,1
Invoice 144122,3
Invoice 146798,3
Invoice 178627,1
Invoice 143481,4
Invoice 218542,1
Invoice 142355,1
Invoice 145242,4
Invoice 197799,1
Invoice 152292,1
Invoice 143542,2
Invoice 30318,5
Invoice 147478,2
Invoice 149394,2
Invoice 230116,1
Invoice 149786,1
Invoice 142033,1
Invoice 192882,1
Invoice 177205,1
Invoice 132914,4
Invoice 256012,1
Invoice 163416,4
Invoice 272001,1
Invoice 159095,3
Invoice 156847,5
Invoice 152411,1
Invoice 247684,1
Invoice 158202,4
Invoice 155408,4
Invoice 264389,1
Invoice 146770,2
Invoice 148986,2
Invoice 265198,1
Invoice 270005,1
Invoice 146361,1
Invoice 152209,4
Invoice 157615,1
Invoice 148148,1
Invoice 159316,1
Invoice 150856,1
Invoice 162923,6
Invoice 266944,2
Invoice 162729,1
Invoice 145708,5
Invoice 161197,1
Invoice 148764,2
Invoice 205216,2
Invoice 143702,5
Invoice 224282,1
Invoice 146300,3
Invoice 155924,2
Invoice 146976,2
Invoice 162311,1
Invoice 159220,1
Invoice 156197,2
Invoice 148700,1
Invoice 160876,2
Invoice 184252,1
Invoice 154747,3
Invoice 147632,3
Invoice 162579,2
Invoice 143992,2
Invoice 1919,2
Invoice 222778,2
Invoice 159088,1
Invoice 152854,4
Invoice 261089,1
Invoice 146299,2
Invoice 201327,2
Invoice 159262,1
Invoice 213826,1
Invoice 145145,3
Invoice 195525,3
Invoice 175416,1
Invoice 157287,1
Invoice 154683,3
Invoice 276858,3
Invoice 141829,1
Invoice 163181,1
Invoice 248352,3
Invoice 225288,1
Invoice 152233,1
Invoice 161564,1
Invoice 226499,5
