Material,MTyp,Matl Group
Material 7348,ERT,8
Material 100,ERT,8
Material 3585,ERT,8
Material 6118,ERT,8
Material 7863,ERT,8
Material 4597,ERT,8
Material 119,ERT,8
Material 5380,ERT,8
Material 4388,ERT,8
Material 3458,ERT,8
Material 7789,ERT,8
Material 2488,ERT,8
Material 4041,ERT,8
Material 5355,ERT,8
Material 5515,ERT,8
Material 778,ERT,8
Material 5867,ERT,8
Material 6881,ERT,8
Material 2476,ERT,8
Material 7924,ERT,8
Material 3847,ERT,8
Material 4585,ERT,8
Material 3516,ERT,8
Material 277,ERT,8
Material 4554,ERT,8
Material 7286,ERT,8
Material 2948,ERT,8
Material 1458,ERT,8
Material 3279,ERT,8
Material 5235,ERT,8
Material 6006,ERT,8
Material 7898,ERT,8
Material 5588,ERT,8
Material 6816,ERT,8
Material 1328,ERT,8
Material 5018,ERT,8
Material 349,ERT,8
Material 4376,ERT,8
Material 6622,ERT,8
Material 3428,ERT,8
Material 5403,ERT,8
Material 4212,ERT,8
Material 1721,ERT,8
Material 4275,ERT,8
Material 4710,ERT,8
Material 3048,ERT,8
Material 7515,ERT,8
Material 7293,ERT,8
Material 5591,ERT,8
Material 4924,ERT,8
Material 6357,ERT,8
Material 4046,ERT,8
Material 7884,ERT,8
Material 999,ERT,8
Material 7577,ERT,8
Material 4142,ERT,8
Material 3032,ERT,8
Material 527,ERT,8
Material 6673,ERT,8
Material 5222,ERT,8
Material 7511,ERT,8
Material 4850,ERT,8
Material 2797,ERT,8
Material 379,ERT,8
Material 7569,ERT,8
Material 7376,ERT,8
Material 5205,ERT,8
Material 1901,ERT,8
Material 1227,ERT,8
Material 3832,ERT,8
Material 6082,ERT,8
Material 3984,ERT,8
Material 995,ERT,8
Material 7381,ERT,8
Material 1071,ERT,8
Material 6191,ERT,8
Material 4011,ERT,8
Material 5967,ERT,8
Material 4573,ERT,8
Material 7002,ERT,8
Material 3093,ERT,8
Material 3869,ERT,8
Material 642,ERT,8
Material 8028,ERT,8
Material 3737,ERT,8
Material 7676,ERT,8
Material 7216,ERT,8
Material 6720,ERT,8
Material 2872,ERT,8
Material 1545,ERT,8
Material 7938,ERT,8
Material 7698,ERT,8
Material 5014,ERT,8
Material 4609,ERT,8
Material 7828,ERT,8
Material 4023,ERT,8
Material 714,ERT,8
Material 5918,ERT,8
Material 6529,ERT,8
Material 2655,ERT,8
Material 3803,ERT,8
Material 5947,ERT,8
Material 8031,ERT,8
Material 7143,ERT,8
Material 3270,ERT,8
Material 4150,ERT,8
Material 7516,ERT,8
Material 1277,ERT,8
Material 3049,ERT,8
Material 92,ERT,8
Material 752,ERT,8
Material 4605,ERT,8
Material 1178,ERT,8
Material 7337,ERT,8
Material 407,ERT,8
Material 6750,ERT,8
Material 4661,ERT,8
Material 4014,ERT,8
Material 6284,ERT,8
Material 3850,ERT,8
Material 1961,ERT,8
Material 4252,ERT,8
Material 5498,ERT,8
Material 1493,ERT,8
Material 960,ERT,8
Material 7973,ERT,8
Material 3706,ERT,8
Material 1747,ERT,8
Material 5555,ERT,8
Material 5779,ERT,8
Material 6445,ERT,8
Material 3931,ERT,8
Material 7063,ERT,8
Material 7764,ERT,8
Material 5237,ERT,8
Material 4908,ERT,8
Material 6973,ERT,8
Material 5397,ERT,8
Material 4779,ERT,8
Material 6652,ERT,8
Material 4747,ERT,8
Material 2108,ERT,8
Material 2747,ERT,8
Material 4557,ERT,8
Material 4146,ERT,8
Material 2863,ERT,8
Material 2670,ERT,8
Material 7916,ERT,8
Material 5872,ERT,8
Material 1761,ERT,8
Material 1808,ERT,8
Material 5175,ERT,8
Material 4727,ERT,8
Material 5595,ERT,8
Material 2498,ERT,8
Material 6104,ERT,8
Material 7922,ERT,8
Material 4613,ERT,8
Material 3331,ERT,8
Material 7419,ERT,8
Material 3315,ERT,8
Material 1910,ERT,8
Material 3459,ERT,8
Material 6227,ERT,8
Material 2107,ERT,8
Material 7710,ERT,8
Material 2647,ERT,8
Material 7693,ERT,8
Material 275,ERT,8
Material 474,ERT,8
Material 7697,ERT,8
Material 2596,ERT,8
Material 1220,ERT,8
Material 569,ERT,8
Material 3474,ERT,8
Material 4861,ERT,8
Material 3100,ERT,8
Material 354,ERT,8
Material 5694,ERT,8
Material 6265,ERT,8
Material 2540,ERT,8
Material 3948,ERT,8
Material 5040,ERT,8
Material 1518,ERT,8
Material 6523,ERT,8
Material 1807,ERT,8
Material 1668,ERT,8
Material 3940,ERT,8
Material 1438,ERT,8
Material 290,ERT,8
Material 6958,ERT,8
Material 7294,ERT,8
Material 4627,ERT,8
Material 3145,ERT,8
Material 2087,ERT,8
Material 7448,ERT,8
Material 5698,ERT,8
Material 4939,ERT,8
Material 6353,ERT,8
Material 5714,ERT,8
Material 7588,ERT,8
Material 6552,ERT,8
Material 1986,ERT,8
Material 4106,ERT,8
Material 2856,ERT,8
Material 6640,ERT,8
Material 2306,ERT,8
Material 6956,ERT,8
Material 1144,ERT,8
Material 3955,ERT,8
Material 5415,ERT,8
Material 4054,ERT,8
Material 676,ERT,8
Material 5305,ERT,8
Material 991,ERT,8
Material 1439,ERT,8
Material 6170,ERT,8
Material 4678,ERT,8
Material 4751,ERT,8
Material 1378,ERT,8
Material 5938,ERT,8
Material 927,ERT,8
Material 5774,ERT,8
Material 4571,ERT,8
Material 4043,ERT,8
Material 4890,ERT,8
Material 314,ERT,8
Material 3694,ERT,8
Material 4012,ERT,8
Material 5332,ERT,8
Material 33,ERT,8
Material 4158,ERT,8
Material 3608,ERT,8
Material 5562,ERT,8
Material 1735,ERT,8
Material 7015,ERT,8
Material 6535,ERT,8
Material 5826,ERT,8
Material 1466,ERT,16
Material 2743,ERT,8
Material 3555,ERT,8
Material 6712,ERT,8
Material 3859,ERT,8
Material 5004,ERT,8
Material 2092,ERT,16
Material 4911,ERT,8
Material 5602,ERT,8
Material 2004,ERT,16
Material 3615,ERT,16
Material 4130,ERT,8
Material 6555,ERT,16
Material 5512,ERT,16
Material 6113,ERT,16
Material 7840,ERT,8
Material 7574,ERT,8
Material 7146,ERT,8
Material 7997,ERT,8
Material 3373,ERT,8
Material 2763,ERT,8
Material 3137,ERT,8
Material 6596,ERT,8
Material 4314,ERT,8
Material 5093,ERT,8
Material 3347,ERT,8
Material 1171,ERT,8
Material 6145,ERT,8
Material 4186,ERT,8
Material 4593,ERT,8
Material 5145,ERT,8
Material 3068,ERT,8
Material 416,ERT,8
Material 6514,ERT,8
Material 421,ROH,76
Material 3975,ROH,76
Material 4181,ROH,76
Material 5558,ROH,76
Material 1920,ROH,76
Material 1135,ROH,76
Material 413,ROH,76
Material 1175,ROH,76
Material 5809,ROH,76
Material 2195,ROH,76
Material 5306,ROH,76
Material 7818,ROH,17
Material 3096,ROH,10
Material 7028,ROH,17
Material 6176,ROH,10
Material 4467,ROH,76
Material 1432,ROH,10
Material 7913,ROH,10
Material 4543,ROH,76
Material 3129,ROH,76
Material 2942,ROH,76
Material 4096,ROH,10
Material 4185,ROH,10
Material 1465,ROH,76
Material 1360,ROH,76
Material 220,ROH,76
Material 6631,ROH,76
Material 5753,ROH,76
Material 3551,ROH,76
Material 1622,ROH,10
Material 2021,ROH,10
Material 8076,ROH,17
Material 5417,ROH,76
Material 7548,ROH,76
Material 4077,ROH,76
Material 4245,ROH,76
Material 1015,ROH,10
Material 3132,ROH,10
Material 7257,ERT,76
Material 3295,ROH,76
Material 2201,ROH,76
Material 6377,ROH,76
Material 372,ROH,76
Material 3749,ROH,76
Material 5790,ROH,76
Material 3976,ROH,76
Material 3562,ERT,76
Material 4478,ROH,76
Material 6922,ROH,76
Material 7833,ROH,76
Material 1709,ROH,76
Material 2829,ROH,76
Material 2607,ROH,76
Material 366,ERT,26
Material 2205,ROH,26
Material 2388,ROH,26
Material 441,ROH,26
Material 268,ROH,57
Material 7106,ROH,57
Material 4755,ROH,26
Material 520,ROH,57
Material 6554,ROH,57
Material 1381,ROH,26
Material 7723,ROH,57
Material 4577,ROH,57
Material 4094,ROH,26
Material 5173,ROH,57
Material 1662,ROH,57
Material 6099,ROH,57
Material 7893,ROH,57
Material 2811,ROH,10
Material 7609,ROH,57
Material 3988,ROH,26
Material 3573,ROH,26
Material 327,ROH,26
Material 2753,ROH,76
Material 1533,ROH,79
Material 72,ROH,76
Material 1077,ROH,0
Material 2845,ROH,26
Material 4844,ROH,26
Material 2573,ROH,10
Material 739,ROH,26
Material 279,ROH,10
Material 6316,ROH,76
Material 6369,ROH,10
Material 4167,ROH,57
Material 734,ROH,26
Material 4098,ROH,76
Material 6061,ROH,76
Material 4897,ROH,57
Material 2126,ROH,57
Material 4398,ROH,76
Material 7990,ROH,76
Material 3891,ROH,76
Material 3810,ROH,76
Material 1730,ROH,76
Material 7762,ROH,76
Material 7409,ROH,76
Material 4510,ROH,26
Material 7885,ROH,76
Material 6503,ROH,57
Material 2980,ROH,26
Material 539,ROH,26
Material 7567,ROH,57
Material 2007,ROH,10
Material 5284,ROH,76
Material 361,ROH,26
Material 2881,ROH,76
Material 4802,ROH,57
Material 1419,ROH,76
Material 1237,ROH,57
Material 1029,ROH,76
Material 3053,ROH,76
Material 6291,ROH,76
Material 5389,ROH,26
Material 4886,ROH,76
Material 2024,ERT,26
Material 2725,ROH,26
Material 103,ROH,76
Material 6217,ROH,10
Material 3407,ROH,10
Material 525,ROH,76
Material 3499,ROH,26
Material 5586,ROH,76
Material 6065,ROH,76
Material 345,ROH,76
Material 5094,ROH,76
Material 244,ROH,76
Material 4980,ROH,76
Material 691,ROH,76
Material 7593,ROH,10
Material 3460,ROH,76
Material 7416,ROH,0
Material 7575,ERT,1
Material 3280,ERT,34
Material 261,ERT,34
Material 2183,ERT,34
Material 2415,ERT,34
Material 4082,ERT,34
Material 3566,ERT,34
Material 2034,ERT,34
Material 7890,ERT,34
Material 1632,ERT,34
Material 1142,ERT,34
Material 1266,ERT,34
Material 6814,ERT,34
Material 909,ERT,34
Material 6901,ERT,34
Material 5792,ERT,34
Material 6998,AWA,34
Material 7630,AWA,34
Material 6367,AWA,34
Material 6686,AWA,34
Material 1738,AWA,41
Material 7550,AWA,34
Material 3939,AWA,34
Material 4704,AWA,34
Material 5066,AWA,34
Material 4188,AWA,34
Material 6447,AWA,34
Material 7234,AWA,34
Material 5079,AWA,34
Material 7042,AWA,34
Material 3312,AWA,34
Material 4544,AWA,34
Material 4349,AWA,34
Material 5106,AWA,34
Material 710,AWA,34
Material 5174,AWA,34
Material 5786,AWA,34
Material 3259,AWA,34
Material 1907,AWA,34
Material 1758,AWA,34
Material 7964,AWA,34
Material 1563,AWA,34
Material 461,AWA,34
Material 937,AWA,34
Material 208,AWA,34
Material 4103,AWA,34
Material 821,AWA,34
Material 2828,AWA,34
Material 5071,ROH,104
Material 5922,ROH,18
Material 4472,ROH,93
Material 1596,ROH,93
Material 6636,ROH,93
Material 3405,ROH,93
Material 5455,ROH,10
Material 3111,ROH,10
Material 4726,ROH,26
Material 3822,ROH,18
Material 1960,ROH,18
Material 7656,ROH,26
Material 1069,ROH,104
Material 8075,ROH,18
Material 1791,ROH,93
Material 410,ROH,93
Material 944,ROH,93
Material 1305,ROH,26
Material 1698,AWA,34
Material 95,AWA,34
Material 7996,AWA,34
Material 1864,AWA,34
Material 5317,AWA,34
Material 4152,AWA,34
Material 3753,AWA,34
Material 1911,ROH,10
Material 3329,AWA,34
Material 7455,AWA,34
Material 7121,AWA,51
Material 434,AWA,34
Material 5086,AWA,34
Material 8033,AWA,34
Material 7925,AWA,34
Material 4320,AWA,34
Material 5466,AWA,34
Material 2199,AWA,51
Material 1384,AWA,34
Material 3581,AWA,51
Material 2445,AWA,51
Material 893,AWA,51
Material 3766,AWA,51
Material 1775,AWA,34
Material 2336,AWA,51
Material 1140,AWA,34
Material 2494,AWA,51
Material 1062,AWA,51
Material 3829,AWA,51
Material 7773,AWA,51
Material 2179,AWA,34
Material 6273,AWA,51
Material 4006,AWA,51
Material 1005,AWA,34
Material 4591,AWA,34
Material 2022,AWA,51
Material 3757,AWA,34
Material 7012,AWA,51
Material 135,AWA,34
Material 6459,AWA,34
Material 6344,AWA,34
Material 3747,AWA,34
Material 1714,AWA,34
Material 2547,AWA,34
Material 6759,AWA,34
Material 3713,AWA,34
Material 3071,AWA,34
Material 2253,AWA,34
Material 4269,AWA,34
Material 4749,AWA,34
Material 1138,AWA,34
Material 764,ERT,42
Material 2539,ERT,42
Material 2796,ERT,42
Material 5580,ERT,42
Material 2155,ERT,42
Material 5688,ERT,42
Material 614,ERT,42
Material 4623,ERT,42
Material 3326,ERT,42
Material 7887,ERT,42
Material 1408,ERT,42
Material 7819,AWA,34
Material 7047,ERT,42
Material 7752,ERT,42
Material 3001,ERT,42
Material 2372,ERT,34
Material 2627,ERT,42
Material 7802,ERT,42
Material 1268,ERT,42
Material 5180,ERT,42
Material 2013,ERT,42
Material 4974,ERT,42
Material 3950,ERT,42
Material 950,ERT,42
Material 7379,ERT,42
Material 4943,ERT,42
Material 7585,ERT,42
Material 2214,ERT,42
Material 500,ERT,42
Material 6843,ERT,42
Material 7123,ERT,42
Material 1607,ERT,42
Material 1446,ERT,42
Material 1982,ERT,42
Material 6301,ERT,42
Material 4812,ERT,42
Material 4843,ERT,42
Material 2010,ERT,42
Material 7962,ERT,42
Material 438,ERT,42
Material 1610,ERT,42
Material 4545,ERT,42
Material 6490,ERT,42
Material 1373,ERT,42
Material 7050,ERT,42
Material 1963,ERT,42
Material 5514,ERT,42
Material 5821,ERT,42
Material 1664,ERT,42
Material 1624,ERT,42
Material 2561,ERT,42
Material 3960,ERT,42
Material 3830,ERT,42
Material 1532,ERT,42
Material 965,ERT,42
Material 1956,ERT,42
Material 1495,ERT,42
Material 838,ERT,42
Material 583,ERT,42
Material 3024,ERT,42
Material 914,ERT,42
Material 1811,ERT,42
Material 2417,ERT,42
Material 2989,ERT,42
Material 3044,ERT,42
Material 5244,ERT,42
Material 8065,ERT,42
Material 6826,ERT,42
Material 3818,ERT,42
Material 3772,ERT,42
Material 647,ERT,42
Material 1883,ERT,42
Material 6098,ERT,42
Material 2295,ERT,42
Material 4881,ERT,42
Material 3409,ERT,42
Material 2893,ERT,42
Material 1824,ERT,42
Material 1930,ERT,42
Material 7057,ERT,42
Material 348,ERT,42
Material 4091,ERT,42
Material 1806,ERT,42
Material 6645,ERT,42
Material 1253,ERT,42
Material 2678,ERT,42
Material 6018,ERT,42
Material 3092,ERT,42
Material 7882,ERT,42
Material 514,ERT,42
Material 4521,ERT,42
Material 3563,ERT,34
Material 27,ERT,8
Material 3250,ERT,42
Material 3584,ERT,42
Material 4394,ERT,42
Material 1244,ERT,42
Material 613,ERT,42
Material 2769,ERT,42
Material 7608,ERT,42
Material 2888,ROH,34
Material 5678,NBW,7
Material 7253,NBW,7
Material 2523,NBW,7
Material 1990,NBW,7
Material 1035,NBW,7
Material 5480,ALB,16
Material 2421,ROH,82
Material 7011,ROH,82
Material 4156,ROH,97
Material 758,ROH,97
Material 8007,ROH,82
Material 1485,ROH,82
Material 1380,ROH,19
Material 1939,ROH,82
Material 4474,ROH,82
Material 2972,ROH,82
Material 6837,ROH,82
Material 2611,ROH,82
Material 2519,ROH,13
Material 1265,ROH,34
Material 463,ROH,82
Material 3885,NBW,43
Material 1817,NBW,43
Material 3796,NBW,7
Material 7797,NBW,7
Material 7202,ROH,82
Material 4611,ROH,20
Material 2530,ROH,20
Material 43,ROH,82
Material 955,AWA,51
Material 6582,AWA,51
Material 4913,AWA,51
Material 233,AWA,51
Material 5135,AWA,51
Material 3782,AWA,51
Material 4933,AWA,51
Material 5902,AWA,51
Material 4283,AWA,51
Material 5499,AWA,57
Material 4957,AWA,51
Material 201,AWA,34
Material 7877,AWA,34
Material 7092,AWA,56
Material 5258,AWA,56
Material 1044,AWA,56
Material 4832,AWA,56
Material 5737,AWA,56
Material 3,AWA,56
Material 3073,AWA,56
Material 3318,AWA,56
Material 4959,AWA,56
Material 1359,ROH,82
Material 7621,ALB,16
Material 746,ALB,16
Material 4397,ALB,16
Material 787,ALB,16
Material 7372,ROH,82
Material 316,ROH,82
Material 1851,AWA,34
Material 2218,AWA,34
Material 1691,AWA,34
Material 7552,AWA,34
Material 3379,AWA,34
Material 5259,AWA,34
Material 3336,AWA,34
Material 721,AWA,34
Material 5213,AWA,34
Material 5833,AWA,34
Material 5120,AWA,34
Material 5681,AWA,34
Material 7032,AWA,34
Material 6420,AWA,34
Material 3709,AWA,34
Material 5206,AWA,34
Material 189,AWA,34
Material 5571,AWA,34
Material 6078,AWA,34
Material 6210,AWA,34
Material 5220,AWA,34
Material 1837,AWA,34
Material 6568,AWA,34
Material 869,AWA,34
Material 987,AWA,34
Material 3515,AWA,34
Material 7543,AWA,70
Material 5236,AWA,34
Material 3769,AWA,34
Material 1550,AWA,34
Material 82,AWA,34
Material 1371,AWA,34
Material 3376,AWA,34
Material 5541,AWA,34
Material 7086,AWA,34
Material 4701,AWA,34
Material 1687,AWA,34
Material 7453,AWA,34
Material 7956,AWA,34
Material 8071,AWA,34
Material 5723,AWA,34
Material 3546,AWA,34
Material 6443,AWA,34
Material 163,AWA,34
Material 5212,AWA,34
Material 7977,AWA,34
Material 2729,AWA,34
Material 4151,AWA,34
Material 3011,AWA,34
Material 6208,AWA,34
Material 117,AWA,34
Material 7281,AWA,34
Material 7631,AWA,34
Material 5394,AWA,34
Material 851,AWA,34
Material 7160,AWA,34
Material 3880,AWA,34
Material 6851,AWA,69
Material 6083,AWA,69
Material 3816,AWA,69
Material 7979,AWA,69
Material 6154,AWA,69
Material 442,AWA,69
Material 7827,AWA,69
Material 3748,AWA,69
Material 4348,AWA,69
Material 2427,AWA,69
Material 17,AWA,69
Material 7415,AWA,69
Material 4264,AWA,69
Material 3432,AWA,69
Material 7368,AWA,34
Material 1713,AWA,34
Material 6570,AWA,34
Material 2564,AWA,34
Material 6478,AWA,34
Material 7155,AWA,34
Material 7078,AWA,34
Material 3600,AWA,34
Material 1597,AWA,34
Material 879,AWA,34
Material 5910,AWA,34
Material 2169,AWA,34
Material 1892,AWA,34
Material 5428,AWA,34
Material 4664,AWA,34
Material 7175,AWA,34
Material 4955,AWA,34
Material 6882,AWA,34
Material 1601,AWA,34
Material 7241,AWA,34
Material 3915,AWA,34
Material 7539,AWA,34
Material 1100,AWA,34
Material 3450,AWA,34
Material 3763,AWA,34
Material 1318,AWA,34
Material 1200,ROH,23
Material 3396,ROH,10
Material 977,ROH,104
Material 5962,ROH,10
Material 3855,ROH,10
Material 4346,ROH,104
Material 1572,ROH,104
Material 7149,ROH,10
Material 3865,ROH,10
Material 4762,ROH,10
Material 7176,ROH,10
Material 5853,ROH,10
Material 2311,ROH,10
Material 3785,ROH,10
Material 4778,ROH,57
Material 3874,ROH,57
Material 2240,ROH,11
Material 7164,ROH,57
Material 6921,ROH,57
Material 3912,ROH,57
Material 5029,ROH,57
Material 7232,ROH,57
Material 4460,ROH,57
Material 3198,ROH,57
Material 6559,ROH,11
Material 1451,ROH,11
Material 4821,ROH,11
Material 7775,ROH,11
Material 5928,ROH,57
Material 2435,ROH,57
Material 1931,ROH,57
Material 1723,ROH,11
Material 4484,ROH,11
Material 3057,ROH,93
Material 7440,ROH,76
Material 5542,ROH,104
Material 6992,ROH,104
Material 5200,ROH,104
Material 6183,ROH,93
Material 2048,ROH,93
Material 6974,ROH,93
Material 5795,ROH,93
Material 5615,ROH,76
Material 628,ROH,76
Material 4774,ROH,76
Material 1800,ROH,76
Material 5748,ROH,76
Material 5906,ROH,76
Material 5421,ROH,76
Material 6252,ROH,76
Material 5233,ROH,76
Material 918,ROH,76
Material 3149,ROH,76
Material 8082,ROH,76
Material 669,ROH,76
Material 4267,ROH,76
Material 1767,ROH,76
Material 2842,ROH,76
Material 5995,ROH,76
Material 347,ROH,76
Material 4944,ROH,76
Material 6360,ROH,76
Material 5149,ROH,76
Material 278,ROH,76
Material 2161,ROH,76
Material 6093,ROH,76
Material 506,ROH,76
Material 6791,ROH,76
Material 6499,ROH,76
Material 8010,ROH,76
Material 7520,ROH,76
Material 1094,ROH,76
Material 6655,ROH,76
Material 5921,ROH,76
Material 7311,ROH,76
Material 6045,ROH,76
Material 2082,ROH,76
Material 661,ROH,76
Material 23,ROH,10
Material 6767,ROH,10
Material 6163,ROH,45
Material 3605,ROH,104
Material 3352,ROH,10
Material 1942,ROH,10
Material 6715,ROH,10
Material 4191,ROH,10
Material 203,ROH,10
Material 5545,ROH,10
Material 2403,ROH,0
Material 34,ROH,0
Material 6201,ROH,0
Material 26,ROH,10
Material 4884,ROH,10
Material 6458,ROH,10
Material 336,ROH,81
Material 169,ROH,93
Material 3961,ROH,10
Material 7620,ROH,10
Material 7403,ROH,10
Material 5241,ROH,10
Material 3945,ROH,104
Material 4758,ROH,104
Material 2889,ROH,104
Material 546,ROH,10
Material 4384,ROH,10
Material 5878,ROH,10
Material 3387,ROH,10
Material 4854,ROH,10
Material 2436,ROH,10
Material 2228,ROH,3
Material 5386,ROH,10
Material 2591,ROH,104
Material 5546,ROH,10
Material 1867,ROH,10
Material 4079,ROH,10
Material 5955,ROH,104
Material 6373,ROH,10
Material 6462,ROH,10
Material 5409,ROH,104
Material 6778,ROH,10
Material 3674,ROH,10
Material 7283,ROH,10
Material 5777,ROH,10
Material 2008,ROH,104
Material 5474,ROH,3
Material 5825,ROH,10
Material 3087,ROH,10
Material 4639,ROH,10
Material 1159,ROH,10
Material 2430,ROH,10
Material 4686,ROH,10
Material 5807,ROH,10
Material 1180,ROH,10
Material 712,ROH,10
Material 6618,ROH,10
Material 6156,ROH,10
Material 6858,ROH,104
Material 2847,ROH,10
Material 7227,ROH,10
Material 2637,ROH,45
Material 7460,ROH,45
Material 5626,ROH,45
Material 1949,ROH,45
Material 3604,ROH,45
Material 4535,ROH,45
Material 2189,ROH,45
Material 2324,ROH,104
Material 827,ROH,45
Material 849,ROH,45
Material 1157,ROH,45
Material 1463,ROH,104
Material 1169,ROH,104
Material 7747,ROH,104
Material 4319,ROH,104
Material 5961,ROH,104
Material 2387,ROH,104
Material 7702,ROH,104
Material 7896,ROH,104
Material 4498,ROH,104
Material 2639,ROH,104
Material 1700,ROH,104
Material 2803,ROH,104
Material 5553,ROH,104
Material 7861,ROH,104
Material 3081,ROH,104
Material 7170,ROH,105
Material 4651,ROH,26
Material 5996,ROH,26
Material 6314,ROH,26
Material 6531,ROH,26
Material 4303,ROH,26
Material 3649,ROH,26
Material 1620,ROH,57
Material 4195,ROH,26
Material 2686,ROH,26
Material 6222,ROH,26
Material 6238,ROH,26
Material 852,ROH,26
Material 5059,ROH,57
Material 7254,ROH,57
Material 6358,ROH,103
Material 3554,ROH,103
Material 6196,ROH,26
Material 2809,ROH,26
Material 7396,ROH,103
Material 7245,ROH,26
Material 7986,ROH,103
Material 111,ROH,26
Material 2472,ROH,105
Material 1554,ROH,76
Material 55,ROH,46
Material 963,ROH,46
Material 4436,ROH,46
Material 343,ROH,46
Material 4039,ROH,46
Material 5464,ROH,46
Material 3778,ROH,46
Material 6693,ROH,46
Material 5989,ROH,46
Material 2030,ROH,104
Material 1080,ROH,104
Material 5057,ROH,10
Material 7790,ROH,104
Material 7544,ROH,104
Material 1699,ROH,104
Material 2926,ROH,104
Material 4977,ROH,46
Material 753,ROH,46
Material 1083,ROH,46
Material 1913,ROH,46
Material 3039,ROH,46
Material 2660,ROH,46
Material 6005,ROH,46
Material 7546,ROH,46
Material 7173,ROH,46
Material 7467,ROH,46
Material 4731,ROH,46
Material 2673,ROH,46
Material 5750,ROH,93
Material 2025,ROH,93
Material 2969,ROH,93
Material 3729,ROH,93
Material 5249,ROH,93
Material 3083,ROH,93
Material 2423,ROH,93
Material 7648,ROH,93
Material 3974,ROH,93
Material 4714,ROH,93
Material 3738,ROH,93
Material 174,ROH,93
Material 6022,ROH,93
Material 6886,ROH,93
Material 2027,ROH,93
Material 4558,ROH,93
Material 7561,ROH,93
Material 5299,ROH,93
Material 4446,ROH,93
Material 7119,ROH,93
