CoCd,DocumentNo,Year,Type,Pstng Date,Reference,Obj. key,CoCd2
Company 4,9300002032.0,2022.0,ZH  ,05/06/2022,Reference 71514,51001182872022,
Company 4,9300002033.0,2022.0,ZH  ,05/06/2022,Reference 28256,51001182882022,
Company 4,9300002034.0,2022.0,ZH  ,05/06/2022,Reference 44208,51001182892022,
Company 4,9300002087.0,2022.0,ZH  ,05/10/2022,Reference 94908,51001192042022,
Company 4,9300002088.0,2022.0,ZH  ,05/10/2022,Reference 12526,51001192062022,
Company 4,9300002089.0,2022.0,ZH  ,05/10/2022,Reference 79151,51001192072022,
Company 4,9300002090.0,2022.0,ZH  ,05/10/2022,Reference 101703,51001192662022,
Company 4,9300002091.0,2022.0,ZH  ,05/10/2022,Reference 47853,51001192672022,
Company 4,9300002092.0,2022.0,ZH  ,05/10/2022,Reference 80404,51001192682022,
Company 4,9300002093.0,2022.0,ZH  ,05/10/2022,Reference 38456,51001192692022,
Company 4,9300002094.0,2022.0,ZH  ,05/11/2022,Reference 116746,51001195662022,
Company 4,9300002095.0,2022.0,ZH  ,05/11/2022,Reference 100877,51001196092022,
Company 4,9300002096.0,2022.0,ZH  ,05/11/2022,Reference 19003,51001196102022,
Company 4,9300002097.0,2022.0,ZH  ,05/11/2022,Reference 38379,51001196112022,
Company 4,9300002098.0,2022.0,ZH  ,05/12/2022,Reference 10328,51001200022022,
Company 4,9300002117.0,2022.0,ZH  ,05/12/2022,Reference 65729,51001200092022,
Company 4,9300002118.0,2022.0,ZH  ,05/12/2022,Reference 88980,51001200102022,
Company 4,9300002840.0,2022.0,ZH  ,05/14/2022,Reference 40769,51001205102022,
Company 4,9300002841.0,2022.0,ZH  ,05/14/2022,Reference 15841,51001205112022,
Company 4,9300002842.0,2022.0,ZH  ,05/14/2022,Reference 11472,51001205122022,
Company 4,9300002843.0,2022.0,ZH  ,05/14/2022,Reference 59193,51001205132022,
Company 4,9300002972.0,2022.0,ZH  ,05/16/2022,Reference 122247,51001207882022,
Company 4,9300002973.0,2022.0,ZH  ,05/16/2022,Reference 3535,51001207892022,
Company 4,9300002974.0,2022.0,ZH  ,05/16/2022,Reference 104179,51001207902022,
Company 4,9300003255.0,2022.0,ZH  ,05/18/2022,Reference 113072,51001217712022,
Company 4,9300003256.0,2022.0,ZH  ,05/18/2022,Reference 54818,51001217722022,
Company 4,9300003257.0,2022.0,ZH  ,05/18/2022,Reference 116024,51001217732022,
Company 4,9300003258.0,2022.0,ZH  ,05/18/2022,Reference 26850,51001217742022,
Company 4,9300003307.0,2022.0,ZH  ,05/21/2022,Reference 107603,51001225852022,
Company 4,9300003481.0,2022.0,ZH  ,05/24/2022,Reference 77047,51001234192022,
Company 4,9300003482.0,2022.0,ZH  ,05/24/2022,Reference 114624,51001234202022,
Company 4,9300003643.0,2022.0,ZH  ,05/25/2022,Reference 85452,51001238712022,
Company 4,9300003644.0,2022.0,ZH  ,05/25/2022,Reference 95562,51001238722022,
Company 4,9300003645.0,2022.0,ZH  ,05/25/2022,Reference 21100,51001238732022,
Company 4,9300003649.0,2022.0,ZH  ,05/26/2022,Reference 69898,51001242532022,
Company 4,9300003650.0,2022.0,ZH  ,05/26/2022,Reference 88988,51001242542022,
Company 4,9300003651.0,2022.0,ZH  ,05/26/2022,Reference 74784,51001242552022,
Company 4,9300003652.0,2022.0,ZH  ,05/26/2022,Reference 88271,51001242562022,
Company 4,9300003653.0,2022.0,ZH  ,05/26/2022,Reference 100069,51001242572022,
Company 4,9300003654.0,2022.0,ZH  ,05/26/2022,Reference 94620,51001242582022,
Company 4,9300003655.0,2022.0,ZH  ,05/26/2022,Reference 64453,51001242992022,
Company 4,9300004237.0,2022.0,ZH  ,05/31/2022,Reference 115505,51001258162022,
Company 4,9300004241.0,2022.0,ZH  ,06/01/2022,Reference 114614,51001261532022,
Company 4,9300004242.0,2022.0,ZH  ,06/01/2022,Reference 119776,51001261542022,
Company 4,9300004243.0,2022.0,ZH  ,06/01/2022,Reference 117117,51001261552022,
Company 4,9300004377.0,2022.0,ZH  ,06/03/2022,Reference 62457,51001271762022,
Company 4,9300004378.0,2022.0,ZH  ,06/03/2022,Reference 17915,51001271772022,
Company 4,9300004379.0,2022.0,ZH  ,06/03/2022,Reference 98807,51001271782022,
Company 4,9300004380.0,2022.0,ZH  ,06/04/2022,Reference 100914,51001272392022,
Company 4,9300004381.0,2022.0,ZH  ,06/06/2022,Reference 105176,51001275442022,
Company 4,9300004382.0,2022.0,ZH  ,06/06/2022,Reference 36468,51001275462022,
Company 4,9300004383.0,2022.0,ZH  ,06/06/2022,Reference 108490,51001275482022,
Company 4,9300004384.0,2022.0,ZH  ,06/07/2022,Reference 5639,51001281262022,
Company 4,9300004385.0,2022.0,ZH  ,06/07/2022,Reference 22494,51001281272022,
Company 4,9300004386.0,2022.0,ZH  ,06/08/2022,Reference 28800,51001286172022,
Company 4,9300004387.0,2022.0,ZH  ,06/08/2022,Reference 71282,51001286182022,
Company 4,9300004388.0,2022.0,ZH  ,06/09/2022,Reference 45182,51001290832022,
Company 4,9300004389.0,2022.0,ZH  ,06/09/2022,Reference 125542,51001290842022,
Company 4,9300004390.0,2022.0,ZH  ,06/09/2022,Reference 39933,51001290852022,
Company 4,9300004391.0,2022.0,ZH  ,06/09/2022,Reference 125480,51001290862022,
Company 4,9300004455.0,2022.0,ZH  ,06/10/2022,Reference 121548,51001294062022,
Company 4,9300004456.0,2022.0,ZH  ,06/10/2022,Reference 23495,51001294262022,
Company 4,9300004528.0,2022.0,ZH  ,06/10/2022,Reference 42687,51001294322022,
Company 4,9300004529.0,2022.0,ZH  ,06/10/2022,Reference 49464,51001294332022,
Company 4,9300004530.0,2022.0,ZH  ,06/10/2022,Reference 72131,51001294342022,
Company 4,9300004531.0,2022.0,ZH  ,06/10/2022,Reference 5356,51001294352022,
Company 4,9300004532.0,2022.0,ZH  ,06/10/2022,Reference 116511,51001294362022,
Company 4,9300004533.0,2022.0,ZH  ,06/13/2022,Reference 36949,51001298562022,
Company 4,9300004534.0,2022.0,ZH  ,06/13/2022,Reference 108162,51001298582022,
Company 4,9300004535.0,2022.0,ZH  ,06/13/2022,Reference 118554,51001298602022,
Company 4,9300004536.0,2022.0,ZH  ,06/13/2022,Reference 37944,51001298982022,
Company 4,9300004537.0,2022.0,ZH  ,06/13/2022,Reference 17693,51001298992022,
Company 4,9300004538.0,2022.0,ZH  ,06/13/2022,Reference 30988,51001299152022,
Company 4,9300004721.0,2022.0,ZH  ,06/15/2022,Reference 63644,51001307492022,
Company 4,9300004722.0,2022.0,ZH  ,06/15/2022,Reference 34467,51001307502022,
Company 4,9300004723.0,2022.0,ZH  ,06/16/2022,Reference 21352,51001313532022,
Company 4,9300004812.0,2022.0,ZH  ,06/18/2022,Reference 15063,51001318662022,
Company 4,9300004813.0,2022.0,ZH  ,06/18/2022,Reference 18745,51001318672022,
Company 4,9300004814.0,2022.0,ZH  ,06/18/2022,Reference 95502,51001318682022,
Company 4,9300004815.0,2022.0,ZH  ,06/18/2022,Reference 69203,51001318692022,
Company 4,9300004816.0,2022.0,ZH  ,06/18/2022,Reference 76169,51001318702022,
Company 4,9300005938.0,2022.0,ZH  ,06/23/2022,Reference 5791,51001339262022,
Company 4,9300005939.0,2022.0,ZH  ,06/23/2022,Reference 115459,51001339272022,
Company 4,9300005940.0,2022.0,ZH  ,06/23/2022,Reference 64561,51001339282022,
Company 4,9300005942.0,2022.0,ZH  ,06/24/2022,Reference 63040,51001343352022,
Company 4,9300005943.0,2022.0,ZH  ,06/24/2022,Reference 123938,51001343362022,
Company 4,9300005944.0,2022.0,ZH  ,06/27/2022,Reference 41420,51001348712022,
Company 4,9300005945.0,2022.0,ZH  ,06/27/2022,Reference 20294,51001348722022,
Company 4,9300005946.0,2022.0,ZH  ,06/27/2022,Reference 73667,51001348732022,
Company 4,9300005947.0,2022.0,ZH  ,06/27/2022,Reference 102206,51001348742022,
Company 4,9300006272.0,2022.0,ZH  ,06/28/2022,Reference 11124,51001356722022,
Company 4,9300006273.0,2022.0,ZH  ,06/28/2022,Reference 65817,51001356732022,
Company 4,9300006274.0,2022.0,ZH  ,06/28/2022,Reference 98818,51001357002022,
Company 4,9300006275.0,2022.0,ZH  ,06/28/2022,Reference 30070,51001357012022,
Company 4,9300006276.0,2022.0,ZH  ,06/28/2022,Reference 23731,51001357022022,
Company 4,9300006386.0,2022.0,ZH  ,06/29/2022,Reference 117944,51001360962022,
Company 4,9300006412.0,2022.0,ZH  ,06/30/2022,Reference 94140,51001367552022,
Company 4,9300006413.0,2022.0,ZH  ,06/30/2022,Reference 113540,51001367562022,
Company 4,9300006414.0,2022.0,ZH  ,06/30/2022,Reference 18507,51001367572022,
Company 4,9300006625.0,2022.0,ZH  ,07/01/2022,Reference 111367,51001370432022,
Company 4,9300006626.0,2022.0,ZH  ,07/01/2022,Reference 101736,51001370442022,
Company 4,9300006627.0,2022.0,ZH  ,07/01/2022,Reference 26778,51001370452022,
Company 4,9300006628.0,2022.0,ZH  ,07/06/2022,Reference 121487,51001379842022,
Company 4,9300006629.0,2022.0,ZH  ,07/06/2022,Reference 98422,51001379922022,
Company 4,9300006630.0,2022.0,ZH  ,07/06/2022,Reference 30828,51001380252022,
Company 4,9300006631.0,2022.0,ZH  ,07/07/2022,Reference 26041,51001383512022,
Company 4,9300006632.0,2022.0,ZH  ,07/07/2022,Reference 98943,51001384302022,
Company 4,9300006633.0,2022.0,ZH  ,07/07/2022,Reference 3437,51001384332022,
Company 4,9300006634.0,2022.0,ZH  ,07/07/2022,Reference 35871,51001384342022,
Company 4,9300006635.0,2022.0,ZH  ,07/07/2022,Reference 96185,51001384352022,
Company 4,9300006636.0,2022.0,ZH  ,07/07/2022,Reference 15370,51001384362022,
Company 4,9300006637.0,2022.0,ZH  ,07/08/2022,Reference 125644,51001387522022,
Company 4,9300006638.0,2022.0,ZH  ,07/08/2022,Reference 60573,51001387532022,
Company 4,9300006639.0,2022.0,ZH  ,07/08/2022,Reference 19729,51001387542022,
Company 4,9300006640.0,2022.0,ZH  ,07/08/2022,Reference 103060,51001387552022,
Company 4,9300006840.0,2022.0,ZH  ,07/13/2022,Reference 46299,51001400582022,
Company 4,9300006841.0,2022.0,ZH  ,07/13/2022,Reference 13788,51001400592022,
Company 4,9300006842.0,2022.0,ZH  ,07/13/2022,Reference 109920,51001400602022,
Company 4,9300006843.0,2022.0,ZH  ,07/13/2022,Reference 44149,51001401222022,
Company 4,9300007491.0,2022.0,ZH  ,07/14/2022,Reference 75610,51001405882022,
Company 4,9300007492.0,2022.0,ZH  ,07/14/2022,Reference 57218,51001405912022,
Company 4,9300007493.0,2022.0,ZH  ,07/14/2022,Reference 46796,51001405922022,
Company 4,9300007590.0,2022.0,ZH  ,07/14/2022,Reference 75985,51001406152022,
Company 4,9300007591.0,2022.0,ZH  ,07/14/2022,Reference 118462,51001406162022,
Company 4,9300007592.0,2022.0,ZH  ,07/14/2022,Reference 110328,51001406172022,
Company 4,9300007593.0,2022.0,ZH  ,07/15/2022,Reference 78050,51001406322022,
Company 4,9300007594.0,2022.0,ZH  ,07/15/2022,Reference 109952,51001406332022,
Company 4,9300007595.0,2022.0,ZH  ,07/15/2022,Reference 117864,51001406342022,
Company 4,9300007596.0,2022.0,ZH  ,07/15/2022,Reference 119405,51001409902022,
Company 4,9300007597.0,2022.0,ZH  ,07/15/2022,Reference 23898,51001409912022,
Company 4,9300007598.0,2022.0,ZH  ,07/16/2022,Reference 56801,51001411322022,
Company 4,9300007599.0,2022.0,ZH  ,07/16/2022,Reference 16726,51001411332022,
Company 4,9300007600.0,2022.0,ZH  ,07/16/2022,Reference 15762,51001411342022,
Company 4,9300007601.0,2022.0,ZH  ,07/18/2022,Reference 46175,51001415372022,
Company 4,9300007639.0,2022.0,ZH  ,07/19/2022,Reference 93462,51001420072022,
Company 4,9300007757.0,2022.0,ZH  ,07/21/2022,Reference 58793,51001430572022,
Company 4,9300007758.0,2022.0,ZH  ,07/21/2022,Reference 62966,51001430582022,
Company 4,9300008097.0,2022.0,ZH  ,07/22/2022,Reference 119188,51001434782022,
Company 4,9300008098.0,2022.0,ZH  ,07/22/2022,Reference 102169,51001434792022,
Company 4,9300008103.0,2022.0,ZH  ,07/26/2022,Reference 64324,51001439372022,
Company 4,9300008252.0,2022.0,ZH  ,07/26/2022,Reference 122860,51001444122022,
Company 4,9300008253.0,2022.0,ZH  ,07/26/2022,Reference 93777,51001444482022,
Company 4,9300008319.0,2022.0,ZH  ,07/27/2022,Reference 67368,51001448442022,
Company 4,9300008320.0,2022.0,ZH  ,07/27/2022,Reference 100281,51001448452022,
Company 4,9300008321.0,2022.0,ZH  ,07/27/2022,Reference 316,51001448462022,
Company 4,9300008322.0,2022.0,ZH  ,07/27/2022,Reference 114623,51001448472022,
Company 4,9300008323.0,2022.0,ZH  ,07/28/2022,Reference 118463,51001451312022,
Company 4,9300008324.0,2022.0,ZH  ,07/28/2022,Reference 91281,51001451342022,
Company 4,9300008340.0,2022.0,ZH  ,07/28/2022,Reference 41,51001452752022,
Company 4,9300008341.0,2022.0,ZH  ,07/28/2022,Reference 99026,51001452762022,
Company 4,9300008342.0,2022.0,ZH  ,07/28/2022,Reference 11680,51001452772022,
Company 4,9300008343.0,2022.0,ZH  ,07/28/2022,Reference 77954,51001452782022,
Company 4,9300008512.0,2022.0,ZH  ,07/30/2022,Reference 110005,51001462682022,
Company 4,9300008513.0,2022.0,ZH  ,08/01/2022,Reference 98049,51001466992022,
Company 4,9300008514.0,2022.0,ZH  ,08/01/2022,Reference 105708,51001467002022,
Company 4,9300008515.0,2022.0,ZH  ,08/01/2022,Reference 126615,51001467012022,
Company 4,9300008640.0,2022.0,ZH  ,08/03/2022,Reference 127035,51001478922022,
Company 4,9300008641.0,2022.0,ZH  ,08/03/2022,Reference 26352,51001478932022,
Company 4,9300008642.0,2022.0,ZH  ,08/03/2022,Reference 20167,51001478942022,
Company 4,9300008644.0,2022.0,ZH  ,08/04/2022,Reference 72801,51001482442022,
Company 4,9300008645.0,2022.0,ZH  ,08/04/2022,Reference 81769,51001482842022,
Company 4,9300008646.0,2022.0,ZH  ,08/04/2022,Reference 80656,51001482852022,
Company 4,9300008647.0,2022.0,ZH  ,08/04/2022,Reference 95690,51001483022022,
Company 4,9300008648.0,2022.0,ZH  ,08/04/2022,Reference 72539,51001483032022,
Company 4,9300008649.0,2022.0,ZH  ,08/08/2022,Reference 39997,51001489942022,
Company 4,9300008733.0,2022.0,ZH  ,08/09/2022,Reference 70329,51001494922022,
Company 4,9300008734.0,2022.0,ZH  ,08/09/2022,Reference 19252,51001494932022,
Company 4,9300008735.0,2022.0,ZH  ,08/09/2022,Reference 57656,51001495182022,
Company 4,9300008736.0,2022.0,ZH  ,08/09/2022,Reference 45020,51001495192022,
Company 4,9300009269.0,2022.0,ZH  ,08/12/2022,Reference 54067,51001505932022,
Company 4,9300009270.0,2022.0,ZH  ,08/12/2022,Reference 91114,51001505942022,
Company 4,9300009271.0,2022.0,ZH  ,08/12/2022,Reference 125961,51001506432022,
Company 4,9300009272.0,2022.0,ZH  ,08/12/2022,Reference 127596,51001506442022,
Company 4,9300009273.0,2022.0,ZH  ,08/12/2022,Reference 5620,51001506452022,
Company 4,9300009274.0,2022.0,ZH  ,08/13/2022,Reference 73545,51001506582022,
Company 4,9300009275.0,2022.0,ZH  ,08/13/2022,Reference 16866,51001506592022,
Company 4,9300009276.0,2022.0,ZH  ,08/13/2022,Reference 48915,51001506602022,
