Purch.Doc.,CoCd,Vendor,Type
123752,Company 6,Vendor 2535,NB  
123755,Company 6,Vendor 738,NB  
123757,Company 6,Vendor 1569,NB  
123764,Company 6,Vendor 3759,NB  
123770,Company 6,Vendor 4201,NB  
123771,Company 6,Vendor 4201,NB  
123772,Company 6,Vendor 4201,NB  
123773,Company 6,Vendor 4201,NB  
123780,Company 6,Vendor 2057,NB  
123804,Company 6,Vendor 2971,NB  
123828,Company 6,Vendor 428,NB  
123832,Company 6,Vendor 1529,NB  
123848,Company 6,Vendor 2229,NB  
626473,Company 6,Vendor 3421,ZAN 
627082,Company 6,Vendor 4417,ZAN 
628029,Company 6,Vendor 1146,ZAN 
628685,Company 6,Vendor 3421,ZAN 
628695,Company 6,Vendor 3421,ZAN 
629212,Company 6,Vendor 1057,ZAN 
630260,Company 6,Vendor 2676,ZAN 
630991,Company 6,Vendor 2208,ZAN 
631194,Company 6,Vendor 2422,ZAN 
631536,Company 6,Vendor 2025,ZAN 
632243,Company 6,Vendor 1088,ZAN 
633234,Company 6,Vendor 4504,ZAN 
633314,Company 6,Vendor 428,ZAN 
633486,Company 6,Vendor 2072,ZAN 
633499,Company 6,Vendor 3421,ZAN 
634222,Company 6,Vendor 3421,ZAN 
634526,Company 6,Vendor 313,ZAN 
634876,Company 6,Vendor 2310,ZAN 
635317,Company 6,Vendor 600,ZAN 
635387,Company 6,Vendor 3098,ZAN 
635388,Company 6,Vendor 3098,ZAN 
635558,Company 6,Vendor 3727,ZAN 
635664,Company 6,Vendor 3098,ZAN 
635665,Company 6,Vendor 3098,ZAN 
636201,Company 6,Vendor 3421,ZAN 
636673,Company 6,Vendor 1485,ZAN 
636674,Company 6,Vendor 1485,ZAN 
637043,Company 6,Vendor 606,ZAN 
637061,Company 6,Vendor 3710,ZAN 
637133,Company 6,Vendor 1260,ZAN 
637169,Company 6,Vendor 1226,ZAN 
637254,Company 6,Vendor 2139,ZAN 
637271,Company 6,Vendor 311,ZAN 
637605,Company 6,Vendor 2762,ZAN 
637608,Company 6,Vendor 3458,ZAN 
637743,Company 6,Vendor 3325,ZAN 
637790,Company 6,Vendor 428,ZAN 
638031,Company 6,Vendor 2535,ZAN 
638334,Company 6,Vendor 3421,ZAN 
638372,Company 6,Vendor 212,ZAN 
638435,Company 6,Vendor 1305,ZAN 
638612,Company 6,Vendor 3421,ZAN 
638912,Company 6,Vendor 2535,ZAN 
639003,Company 6,Vendor 225,ZAN 
639207,Company 6,Vendor 428,ZAN 
639261,Company 6,Vendor 3682,ZAN 
639287,Company 6,Vendor 3421,ZAN 
639288,Company 6,Vendor 3421,ZAN 
639383,Company 6,Vendor 3421,ZAN 
639407,Company 6,Vendor 3422,ZAN 
639579,Company 6,Vendor 610,ZAN 
639584,Company 6,Vendor 1247,ZAN 
639709,Company 6,Vendor 2535,ZAN 
639718,Company 6,Vendor 428,ZAN 
639795,Company 6,Vendor 1247,ZAN 
639850,Company 6,Vendor 2643,ZAN 
639868,Company 6,Vendor 4608,ZAN 
639904,Company 6,Vendor 3727,ZAN 
639928,Company 6,Vendor 4608,ZAN 
1573794,Company 4,Vendor 3130,NB  
1655752,Company 4,Vendor 3204,NB  
1659491,Company 5,Vendor 4904,ZIC 
1660396,Company 4,Vendor 3958,ZAN 
1661757,Company 4,Vendor 4690,ZAN 
1663138,Company 4,Vendor 3130,NB  
1667631,Company 4,Vendor 1282,ZAN 
1673678,Company 4,Vendor 3517,ZAN 
1683382,Company 4,Vendor 3204,NB  
1689477,Company 4,Vendor 4976,ZIC 
1689522,Company 4,Vendor 4976,ZIC 
1692377,Company 4,Vendor 2571,NB  
3114360,Company 16,Vendor 4324,NB  
3164383,Company 16,Vendor 4952,NB  
3165044,Company 16,Vendor 4929,NB  
3167541,Company 16,Vendor 4974,NB  
3167693,Company 16,Vendor 4937,ZAN 
3168069,Company 16,Vendor 1441,NB  
3168157,Company 16,Vendor 4324,NB  
3168245,Company 16,Vendor 4913,NB  
3168878,Company 16,Vendor 4921,NB  
3183896,Company 16,Vendor 4972,NB  
3184413,Company 16,Vendor 4939,NB  
5036668,Company 15,Vendor 366,NB  
5105315,Company 10,Vendor 2854,NB  
5105408,Company 10,Vendor 1597,NB  
5105503,Company 10,Vendor 1376,NB  
5105617,Company 10,Vendor 3512,NB  
5105888,Company 10,Vendor 1128,NB  
5106001,Company 10,Vendor 3757,NB  
5106022,Company 10,Vendor 3759,NB  
5106161,Company 10,Vendor 1226,NB  
5106210,Company 10,Vendor 3512,NB  
5106225,Company 10,Vendor 1226,NB  
5106266,Company 10,Vendor 1128,NB  
5106385,Company 10,Vendor 3421,NB  
5106390,Company 10,Vendor 1328,NB  
5106515,Company 10,Vendor 3789,NB  
5106516,Company 10,Vendor 3789,NB  
5106524,Company 10,Vendor 4293,NB  
5106534,Company 10,Vendor 3789,NB  
5106535,Company 10,Vendor 3789,NB  
5106536,Company 10,Vendor 3789,NB  
5106537,Company 10,Vendor 3789,NB  
5106544,Company 10,Vendor 2057,NB  
5106550,Company 10,Vendor 393,NB  
5106552,Company 10,Vendor 2057,NB  
5106574,Company 10,Vendor 1376,NB  
5106577,Company 10,Vendor 3353,NB  
5106579,Company 10,Vendor 2057,NB  
5106580,Company 10,Vendor 4328,NB  
5106590,Company 10,Vendor 2057,NB  
5106615,Company 10,Vendor 1376,NB  
5106624,Company 10,Vendor 2057,NB  
5106625,Company 10,Vendor 1376,NB  
5106639,Company 10,Vendor 1758,NB  
5106646,Company 10,Vendor 2057,NB  
5106660,Company 10,Vendor 3512,NB  
5106661,Company 10,Vendor 4293,NB  
5106663,Company 10,Vendor 2057,NB  
5106673,Company 10,Vendor 3605,NB  
5106677,Company 10,Vendor 2236,NB  
5106687,Company 10,Vendor 1569,NB  
5106692,Company 10,Vendor 3759,NB  
5106697,Company 10,Vendor 3512,NB  
5106705,Company 10,Vendor 1569,NB  
5106737,Company 10,Vendor 2057,NB  
5106738,Company 10,Vendor 3759,NB  
5106743,Company 10,Vendor 3421,NB  
5106744,Company 10,Vendor 3421,NB  
5106745,Company 10,Vendor 3421,NB  
5106748,Company 10,Vendor 1597,NB  
5106754,Company 10,Vendor 1376,NB  
5106761,Company 10,Vendor 3759,NB  
5106764,Company 10,Vendor 3759,NB  
5106769,Company 10,Vendor 3512,NB  
5106773,Company 10,Vendor 205,NB  
5106782,Company 10,Vendor 4328,NB  
5106791,Company 10,Vendor 3353,NB  
5106810,Company 10,Vendor 1758,NB  
5106812,Company 10,Vendor 4365,NB  
5106817,Company 10,Vendor 3759,NB  
5106824,Company 10,Vendor 3512,NB  
5106825,Company 10,Vendor 1887,NB  
5106855,Company 10,Vendor 2236,NB  
5106858,Company 10,Vendor 1597,NB  
5106876,Company 10,Vendor 1226,NB  
5106885,Company 10,Vendor 948,NB  
5106888,Company 10,Vendor 1156,NB  
5106889,Company 10,Vendor 1569,NB  
5106898,Company 10,Vendor 2910,NB  
5106899,Company 10,Vendor 1887,NB  
5106901,Company 10,Vendor 2057,NB  
5106910,Company 10,Vendor 738,NB  
5106912,Company 10,Vendor 3757,NB  
5106917,Company 10,Vendor 3757,NB  
5106918,Company 10,Vendor 1569,NB  
5106920,Company 10,Vendor 1569,NB  
5106922,Company 10,Vendor 3757,NB  
5106930,Company 10,Vendor 3605,NB  
5106931,Company 10,Vendor 3605,NB  
5106944,Company 10,Vendor 2972,NB  
5106948,Company 10,Vendor 3759,NB  
5106949,Company 10,Vendor 1887,NB  
5106959,Company 10,Vendor 1677,NB  
5106960,Company 10,Vendor 738,NB  
5106963,Company 10,Vendor 1376,NB  
5106977,Company 10,Vendor 1887,NB  
5106983,Company 10,Vendor 738,NB  
5106984,Company 10,Vendor 738,NB  
5106985,Company 10,Vendor 882,NB  
5106994,Company 10,Vendor 882,NB  
5107016,Company 10,Vendor 1597,NB  
5107022,Company 10,Vendor 1597,NB  
5107024,Company 10,Vendor 738,NB  
5107031,Company 10,Vendor 2057,NB  
5107037,Company 10,Vendor 1226,NB  
5107040,Company 10,Vendor 2057,NB  
5107042,Company 10,Vendor 3605,NB  
5107048,Company 10,Vendor 427,NB  
5107058,Company 10,Vendor 1328,NB  
5107068,Company 10,Vendor 2958,NB  
5107071,Company 10,Vendor 3789,NB  
5107072,Company 10,Vendor 1597,NB  
5107076,Company 10,Vendor 1529,NB  
5107082,Company 10,Vendor 948,NB  
5107093,Company 10,Vendor 2057,NB  
5107098,Company 10,Vendor 1914,NB  
5107099,Company 10,Vendor 1569,NB  
5107103,Company 10,Vendor 3757,NB  
5107113,Company 10,Vendor 3759,NB  
5107118,Company 10,Vendor 2057,NB  
5107126,Company 10,Vendor 1569,NB  
5107128,Company 10,Vendor 1569,NB  
5107129,Company 10,Vendor 3972,NB  
5107132,Company 10,Vendor 1376,NB  
5107145,Company 10,Vendor 1226,NB  
5107146,Company 10,Vendor 1597,NB  
5107147,Company 10,Vendor 2057,NB  
5107148,Company 10,Vendor 3789,NB  
5107150,Company 10,Vendor 4328,NB  
5107153,Company 10,Vendor 427,NB  
5107154,Company 10,Vendor 1569,NB  
5107157,Company 10,Vendor 3512,NB  
5107161,Company 10,Vendor 1569,NB  
5107174,Company 10,Vendor 1226,NB  
5107187,Company 10,Vendor 1569,NB  
5107188,Company 10,Vendor 2057,NB  
5107190,Company 10,Vendor 1914,NB  
5107191,Company 10,Vendor 1914,NB  
5107192,Company 10,Vendor 1914,NB  
5107199,Company 10,Vendor 1569,NB  
5107201,Company 10,Vendor 1597,NB  
5107202,Company 10,Vendor 2057,NB  
5107207,Company 10,Vendor 1758,NB  
5107208,Company 10,Vendor 1328,NB  
5107209,Company 10,Vendor 1328,NB  
5107210,Company 10,Vendor 1328,NB  
5107213,Company 10,Vendor 1758,NB  
5107220,Company 10,Vendor 3512,NB  
5107221,Company 10,Vendor 3328,NB  
5107222,Company 10,Vendor 1758,NB  
5107236,Company 10,Vendor 3237,NB  
5107242,Company 10,Vendor 1376,NB  
5107250,Company 10,Vendor 3512,NB  
5107255,Company 10,Vendor 1226,NB  
5107256,Company 10,Vendor 1376,NB  
5107261,Company 10,Vendor 738,NB  
5107263,Company 10,Vendor 3237,NB  
5107264,Company 10,Vendor 680,NB  
5107277,Company 10,Vendor 2643,NB  
5107278,Company 10,Vendor 4293,NB  
5107279,Company 10,Vendor 1128,NB  
5107288,Company 10,Vendor 1569,NB  
5107289,Company 10,Vendor 3757,NB  
5107297,Company 10,Vendor 1707,NB  
5107298,Company 10,Vendor 1376,NB  
5107304,Company 10,Vendor 2971,NB  
5107320,Company 10,Vendor 2057,NB  
5107337,Company 10,Vendor 4328,NB  
5107340,Company 10,Vendor 3759,NB  
5107342,Company 10,Vendor 3759,NB  
5107347,Company 10,Vendor 3027,NB  
5107351,Company 10,Vendor 3759,NB  
5107353,Company 10,Vendor 3605,NB  
5107354,Company 10,Vendor 3739,NB  
5107355,Company 10,Vendor 1569,NB  
5107360,Company 10,Vendor 1376,NB  
5107372,Company 10,Vendor 3353,NB  
5107373,Company 10,Vendor 738,NB  
5107374,Company 10,Vendor 2057,NB  
5107375,Company 10,Vendor 2057,NB  
5107376,Company 10,Vendor 1376,NB  
5107377,Company 10,Vendor 1376,NB  
5107378,Company 10,Vendor 2684,NB  
5107379,Company 10,Vendor 989,NB  
5107380,Company 10,Vendor 1758,NB  
5107381,Company 10,Vendor 1597,NB  
5107386,Company 10,Vendor 3512,NB  
5107395,Company 10,Vendor 738,NB  
5107398,Company 10,Vendor 1529,NB  
5107399,Company 10,Vendor 1914,NB  
5107402,Company 10,Vendor 2057,NB  
5107403,Company 10,Vendor 1569,NB  
5107405,Company 10,Vendor 2643,NB  
5107408,Company 10,Vendor 1597,NB  
5107411,Company 10,Vendor 4328,NB  
5107414,Company 10,Vendor 1597,NB  
5107419,Company 10,Vendor 4328,NB  
5107423,Company 10,Vendor 3759,NB  
5107424,Company 10,Vendor 2971,NB  
5107425,Company 10,Vendor 2057,NB  
5107432,Company 10,Vendor 2057,NB  
5612388,Company 10,Vendor 1571,ZAN 
5612423,Company 10,Vendor 1571,ZAN 
5612424,Company 10,Vendor 1887,ZAN 
5612463,Company 10,Vendor 1953,ZAN 
5612508,Company 10,Vendor 2831,ZAN 
5612616,Company 10,Vendor 3512,ZAN 
5612651,Company 10,Vendor 1887,ZAN 
5613104,Company 10,Vendor 1887,ZAN 
5613199,Company 10,Vendor 989,ZAN 
5613893,Company 10,Vendor 3421,ZAN 
5613922,Company 10,Vendor 1191,ZAN 
5614154,Company 10,Vendor 3421,ZAN 
5614172,Company 10,Vendor 1571,ZAN 
5614597,Company 10,Vendor 698,ZAN 
5614729,Company 10,Vendor 1887,ZAN 
5614772,Company 10,Vendor 3828,ZAN 
5615035,Company 10,Vendor 1887,ZAN 
5615198,Company 10,Vendor 3512,ZAN 
5615378,Company 10,Vendor 1887,ZAN 
5615389,Company 10,Vendor 2155,ZAN 
5615400,Company 10,Vendor 1887,ZAN 
5615483,Company 10,Vendor 1887,ZAN 
5615492,Company 10,Vendor 1070,ZAN 
5615521,Company 10,Vendor 3693,ZAN 
5615579,Company 10,Vendor 3421,ZAN 
5615666,Company 10,Vendor 939,ZAN 
5615789,Company 10,Vendor 1887,ZAN 
5615802,Company 10,Vendor 4173,ZAN 
5615804,Company 10,Vendor 3512,ZAN 
5615844,Company 10,Vendor 3421,ZAN 
5615919,Company 10,Vendor 3421,ZAN 
5615921,Company 10,Vendor 2155,ZAN 
5615922,Company 10,Vendor 1887,ZAN 
5615923,Company 10,Vendor 3512,ZAN 
5615979,Company 10,Vendor 3421,ZAN 
5616032,Company 10,Vendor 3512,ZAN 
5616047,Company 10,Vendor 3421,ZAN 
5616050,Company 10,Vendor 3421,ZAN 
5616055,Company 10,Vendor 1887,ZAN 
5616129,Company 10,Vendor 4413,ZAN 
5616187,Company 10,Vendor 1887,ZAN 
5616204,Company 10,Vendor 1887,ZAN 
5616270,Company 10,Vendor 1591,ZAN 
5616302,Company 10,Vendor 698,ZAN 
5616317,Company 10,Vendor 1887,ZAN 
5616367,Company 10,Vendor 2762,ZAN 
5616431,Company 10,Vendor 3512,ZAN 
5616513,Company 10,Vendor 722,ZAN 
5616527,Company 10,Vendor 3903,ZAN 
5616538,Company 10,Vendor 1793,ZAN 
5616598,Company 10,Vendor 2986,ZAN 
5616617,Company 10,Vendor 1530,ZAN 
5616695,Company 10,Vendor 3828,ZAN 
5616776,Company 10,Vendor 3512,ZAN 
5616786,Company 10,Vendor 3650,ZAN 
5616787,Company 10,Vendor 2762,ZAN 
5616794,Company 10,Vendor 989,ZAN 
5616823,Company 10,Vendor 3445,ZAN 
5616834,Company 10,Vendor 3109,ZAN 
5616861,Company 10,Vendor 3693,ZAN 
5616867,Company 10,Vendor 989,ZAN 
5616868,Company 10,Vendor 1887,ZAN 
450004688,Company 16,Vendor 4881,NB  
4400008752,Company 4,Vendor 4933,ZICA
4400008804,Company 4,Vendor 4933,ZICA
4400008805,Company 4,Vendor 4933,ZICA
4400008806,Company 4,Vendor 4933,ZICA
4400008807,Company 8,Vendor 4855,ZICA
4400008808,Company 7,Vendor 4905,ZICA
4400008809,Company 8,Vendor 4905,ZICA
4400008810,Company 8,Vendor 4905,ZICA
4400008811,Company 8,Vendor 4905,ZICA
4400008812,Company 8,Vendor 4905,ZICA
4400008813,Company 9,Vendor 4905,ZICA
4400008814,Company 8,Vendor 4905,ZICA
4400008815,Company 8,Vendor 4905,ZICA
4400008816,Company 7,Vendor 4855,ZICA
4400008817,Company 9,Vendor 4855,ZICA
4400008818,Company 9,Vendor 4855,ZICA
4400008819,Company 8,Vendor 4855,ZICA
4400008820,Company 8,Vendor 4855,ZICA
4400008821,Company 8,Vendor 4855,ZICA
4400008822,Company 8,Vendor 4855,ZICA
4400008823,Company 7,Vendor 4855,ZICA
4400008824,Company 7,Vendor 4855,ZICA
4400008825,Company 7,Vendor 4855,ZICA
4400008826,Company 7,Vendor 4855,ZICA
4400008827,Company 7,Vendor 4855,ZICA
4400008828,Company 8,Vendor 4855,ZICA
4400008829,Company 7,Vendor 4855,ZICA
4400008830,Company 8,Vendor 4855,ZICA
4400008831,Company 8,Vendor 4855,ZICA
4400008832,Company 7,Vendor 4855,ZICA
4400008833,Company 7,Vendor 4855,ZICA
4400008834,Company 7,Vendor 4905,ZICA
4400008835,Company 9,Vendor 4905,ZICA
4400008836,Company 7,Vendor 4905,ZICA
4400008837,Company 9,Vendor 4905,ZICA
4400008838,Company 8,Vendor 4905,ZICA
4400008839,Company 7,Vendor 4905,ZICA
4400008840,Company 8,Vendor 4905,ZICA
4400008841,Company 8,Vendor 4905,ZICA
4400008842,Company 8,Vendor 4905,ZICA
4400008843,Company 8,Vendor 4905,ZICA
4400008844,Company 8,Vendor 4905,ZICA
4400008845,Company 7,Vendor 4905,ZICA
4400008846,Company 7,Vendor 4905,ZICA
4400008847,Company 9,Vendor 4905,ZICA
4400008848,Company 8,Vendor 4905,ZICA
4400008849,Company 8,Vendor 4905,ZICA
4400008850,Company 8,Vendor 4905,ZICA
4400008851,Company 7,Vendor 4905,ZICA
4400008852,Company 7,Vendor 4905,ZICA
4400008853,Company 7,Vendor 4905,ZICA
4400008854,Company 8,Vendor 4905,ZICA
4400008855,Company 8,Vendor 4905,ZICA
4400008856,Company 8,Vendor 4905,ZICA
4400008857,Company 8,Vendor 4905,ZICA
4400008858,Company 8,Vendor 4905,ZICA
4400008859,Company 7,Vendor 4905,ZICA
4400008860,Company 8,Vendor 4905,ZICA
4400008861,Company 7,Vendor 4905,ZICA
4400008862,Company 8,Vendor 4905,ZICA
4400008863,Company 8,Vendor 4905,ZICA
4400008864,Company 7,Vendor 4905,ZICA
4400008865,Company 7,Vendor 4905,ZICA
4400008866,Company 7,Vendor 4905,ZICA
4400008867,Company 8,Vendor 4905,ZICA
4400008868,Company 8,Vendor 4905,ZICA
4400008869,Company 4,Vendor 4933,ZICA
4400008870,Company 4,Vendor 4933,ZICA
4400008871,Company 4,Vendor 4933,ZICA
4400008872,Company 8,Vendor 4855,ZICA
4400008873,Company 8,Vendor 4855,ZICA
4400008874,Company 11,Vendor 4855,ZICA
4400008875,Company 11,Vendor 4855,ZICA
4400008876,Company 11,Vendor 4855,ZICA
4400008877,Company 11,Vendor 4855,ZICA
4400008878,Company 7,Vendor 4855,ZICA
4400008879,Company 9,Vendor 4855,ZICA
4400008880,Company 8,Vendor 4855,ZICA
4400008881,Company 8,Vendor 4855,ZICA
4400008882,Company 8,Vendor 4855,ZICA
4400008883,Company 8,Vendor 4855,ZICA
4400008884,Company 8,Vendor 4855,ZICA
4400008885,Company 8,Vendor 4855,ZICA
4400008886,Company 9,Vendor 4855,ZICA
4400008887,Company 8,Vendor 4855,ZICA
4400008888,Company 7,Vendor 4855,ZICA
4400008889,Company 8,Vendor 4855,ZICA
4400008890,Company 7,Vendor 4855,ZICA
4400008891,Company 11,Vendor 4855,ZICA
4400008892,Company 11,Vendor 4855,ZICA
4400008893,Company 8,Vendor 4905,ZICA
4400008894,Company 7,Vendor 4905,ZICA
4400008895,Company 7,Vendor 4905,ZICA
4400008896,Company 8,Vendor 4905,ZICA
4400008897,Company 8,Vendor 4905,ZICA
4400008898,Company 8,Vendor 4905,ZICA
4400008899,Company 8,Vendor 4905,ZICA
4400008900,Company 11,Vendor 4905,ZICA
4400008901,Company 11,Vendor 4905,ZICA
4400008902,Company 7,Vendor 4905,ZICA
4400008903,Company 11,Vendor 4905,ZICA
4400008904,Company 11,Vendor 4905,ZICA
4400008905,Company 11,Vendor 4905,ZICA
4400008906,Company 8,Vendor 4905,ZICA
4400008907,Company 11,Vendor 4905,ZICA
4400008908,Company 7,Vendor 4905,ZICA
4400008909,Company 9,Vendor 4905,ZICA
4400008910,Company 11,Vendor 4905,ZICA
4400008911,Company 8,Vendor 4905,ZICA
4400008912,Company 9,Vendor 4905,ZICA
4400008913,Company 7,Vendor 4905,ZICA
4400008914,Company 7,Vendor 4905,ZICA
4400008915,Company 8,Vendor 4905,ZICA
4400008916,Company 8,Vendor 4905,ZICA
4400008917,Company 8,Vendor 4905,ZICA
4400008918,Company 8,Vendor 4905,ZICA
4400008919,Company 8,Vendor 4905,ZICA
4400008920,Company 9,Vendor 4905,ZICA
4400008921,Company 7,Vendor 4905,ZICA
4400008922,Company 7,Vendor 4905,ZICA
4400008923,Company 11,Vendor 4905,ZICA
4400008924,Company 7,Vendor 4855,ZICA
4400008925,Company 7,Vendor 4855,ZICA
4400008926,Company 11,Vendor 4855,ZICA
4400008927,Company 9,Vendor 4855,ZICA
4400008928,Company 9,Vendor 4855,ZICA
4400008929,Company 7,Vendor 4855,ZICA
4400008930,Company 7,Vendor 4855,ZICA
4400008931,Company 7,Vendor 4855,ZICA
4400008932,Company 8,Vendor 4855,ZICA
4400008933,Company 8,Vendor 4855,ZICA
4400008934,Company 7,Vendor 4855,ZICA
4400008935,Company 8,Vendor 4855,ZICA
4400008936,Company 8,Vendor 4855,ZICA
4400008937,Company 11,Vendor 4855,ZICA
4400008938,Company 11,Vendor 4855,ZICA
4400008939,Company 11,Vendor 4855,ZICA
4400008940,Company 11,Vendor 4855,ZICA
4400008941,Company 11,Vendor 4855,ZICA
4400008942,Company 8,Vendor 4855,ZICA
4400008943,Company 8,Vendor 4855,ZICA
4400008944,Company 8,Vendor 4855,ZICA
4400008945,Company 8,Vendor 4855,ZICA
4400008946,Company 7,Vendor 4905,ZICA
4400008947,Company 7,Vendor 4905,ZICA
4400008948,Company 11,Vendor 4905,ZICA
4400008949,Company 11,Vendor 4905,ZICA
4400008950,Company 7,Vendor 4905,ZICA
4400008951,Company 8,Vendor 4905,ZICA
4400008952,Company 8,Vendor 4905,ZICA
4400008953,Company 7,Vendor 4905,ZICA
4400008954,Company 11,Vendor 4905,ZICA
4400008955,Company 7,Vendor 4905,ZICA
4400008956,Company 8,Vendor 4905,ZICA
4400008957,Company 8,Vendor 4905,ZICA
4400008958,Company 11,Vendor 4905,ZICA
4400008959,Company 7,Vendor 4905,ZICA
4400008960,Company 7,Vendor 4905,ZICA
4400008961,Company 8,Vendor 4905,ZICA
4400008962,Company 8,Vendor 4905,ZICA
4400008963,Company 8,Vendor 4905,ZICA
4400008964,Company 8,Vendor 4905,ZICA
4400008965,Company 7,Vendor 4905,ZICA
4400008966,Company 7,Vendor 4905,ZICA
4400008967,Company 11,Vendor 4905,ZICA
4400008968,Company 8,Vendor 4905,ZICA
4400008969,Company 8,Vendor 4905,ZICA
4400008970,Company 8,Vendor 4905,ZICA
4400008971,Company 4,Vendor 4933,ZICA
4400008972,Company 7,Vendor 4855,ZICA
4400008973,Company 8,Vendor 4855,ZICA
4400008974,Company 7,Vendor 4855,ZICA
4400008975,Company 8,Vendor 4855,ZICA
4400008976,Company 7,Vendor 4855,ZICA
4400008977,Company 7,Vendor 4855,ZICA
4400008978,Company 8,Vendor 4855,ZICA
4400008979,Company 8,Vendor 4855,ZICA
4400008980,Company 7,Vendor 4905,ZICA
4400008981,Company 11,Vendor 4905,ZICA
4400008982,Company 8,Vendor 4905,ZICA
4400008983,Company 8,Vendor 4905,ZICA
4400008984,Company 7,Vendor 4905,ZICA
4400008985,Company 8,Vendor 4905,ZICA
4400008986,Company 8,Vendor 4905,ZICA
4400008987,Company 8,Vendor 4905,ZICA
4400008988,Company 11,Vendor 4905,ZICA
4400008989,Company 11,Vendor 4905,ZICA
4400008990,Company 7,Vendor 4905,ZICA
4400008991,Company 7,Vendor 4905,ZICA
4400008992,Company 8,Vendor 4905,ZICA
4400008993,Company 9,Vendor 4905,ZICA
4400008994,Company 8,Vendor 4905,ZICA
4400008995,Company 7,Vendor 4905,ZICA
4400008996,Company 7,Vendor 4905,ZICA
4400008997,Company 9,Vendor 4905,ZICA
4400008998,Company 7,Vendor 4905,ZICA
4400008999,Company 7,Vendor 4905,ZICA
4400009000,Company 7,Vendor 4905,ZICA
4400009001,Company 7,Vendor 4905,ZICA
4400009002,Company 7,Vendor 4905,ZICA
4400009004,Company 7,Vendor 4905,ZICA
4400009005,Company 7,Vendor 4905,ZICA
4400009006,Company 7,Vendor 4905,ZICA
4400009007,Company 7,Vendor 4905,ZICA
4400009008,Company 7,Vendor 4905,ZICA
