Final Approved Date,Final Company Code,Turnaround (Days),Target
2022-01-31,Company 12,3.90625,2
2022-01-31,Company 13,0.0,2
2022-01-31,Company 2,16.0,2
2022-01-31,Company 4,1.9861111111111112,2
2022-01-31,Company 6,1.647887323943662,2
2022-02-28,Company 1,0.0,2
2022-02-28,Company 10,4.3076923076923075,2
2022-02-28,Company 12,4.206896551724138,2
2022-02-28,Company 13,7.0,2
2022-02-28,Company 2,0.0,2
2022-02-28,Company 4,1.8028169014084507,2
2022-02-28,Company 5,0.0,2
2022-02-28,Company 6,2.6666666666666665,2
2022-03-31,Company 1,4.0,2
2022-03-31,Company 10,3.238095238095238,2
2022-03-31,Company 12,4.4375,2
2022-03-31,Company 13,2.0,2
2022-03-31,Company 2,0.25,2
2022-03-31,Company 3,1.0,2
2022-03-31,Company 4,2.388888888888889,2
2022-03-31,Company 5,0.0,2
2022-03-31,Company 6,3.7719298245614037,2
2022-04-30,Company 1,0.0,2
2022-04-30,Company 10,5.111111111111111,2
2022-04-30,Company 12,5.730769230769231,2
2022-04-30,Company 13,0.0,2
2022-04-30,Company 2,0.0,2
2022-04-30,Company 4,2.2857142857142856,2
2022-04-30,Company 5,0.0,2
2022-04-30,Company 6,1.8166666666666667,2
2022-05-31,Company 10,1.8461538461538463,2
2022-05-31,Company 12,5.392857142857143,2
2022-05-31,Company 13,5.0,2
2022-05-31,Company 2,1.6666666666666667,2
2022-05-31,Company 4,2.604651162790698,2
2022-05-31,Company 5,0.0,2
2022-05-31,Company 6,2.4516129032258065,2
2022-06-30,Company 1,0.0,2
2022-06-30,Company 10,2.6875,2
2022-06-30,Company 12,8.5,2
2022-06-30,Company 2,1.0,2
2022-06-30,Company 4,2.0689655172413794,2
2022-06-30,Company 5,0.0,2
2022-06-30,Company 6,1.595505617977528,2
2022-07-31,Company 1,1.0,2
2022-07-31,Company 10,10.1875,2
2022-07-31,Company 12,3.739130434782609,2
2022-07-31,Company 2,0.0,2
2022-07-31,Company 4,4.1,2
2022-07-31,Company 5,0.25,2
2022-07-31,Company 6,2.6031746031746033,2
2022-08-31,Company 10,5.208333333333333,2
2022-08-31,Company 12,4.4411764705882355,2
2022-08-31,Company 3,3.0,2
2022-08-31,Company 4,3.8666666666666667,2
2022-08-31,Company 5,0.6666666666666666,2
2022-08-31,Company 6,2.6964285714285716,2
2022-09-30,Company 1,0.0,2
2022-09-30,Company 10,3.2857142857142856,2
2022-09-30,Company 12,1.9166666666666667,2
2022-09-30,Company 13,7.666666666666667,2
2022-09-30,Company 2,2.0,2
2022-09-30,Company 3,0.0,2
2022-09-30,Company 4,3.8461538461538463,2
2022-09-30,Company 5,0.0,2
2022-09-30,Company 6,2.193548387096774,2
2022-10-31,Company 10,6.666666666666667,2
2022-10-31,Company 12,3.55,2
2022-10-31,Company 2,3.0,2
2022-10-31,Company 4,3.2432432432432434,2
2022-10-31,Company 6,2.82,2
2022-11-30,Company 1,4.666666666666667,2
2022-11-30,Company 10,11.0,2
2022-11-30,Company 12,5.681818181818182,2
2022-11-30,Company 2,0.0,2
2022-11-30,Company 4,2.938775510204082,2
2022-11-30,Company 5,0.0,2
2022-11-30,Company 6,2.1607142857142856,2
2022-12-31,Company 10,6.2727272727272725,2
2022-12-31,Company 12,6.833333333333333,2
2022-12-31,Company 13,3.0,2
2022-12-31,Company 2,0.0,2
2022-12-31,Company 4,1.7,2
2022-12-31,Company 6,13.23076923076923,2
2023-01-31,Company 1,0.0,2
2023-01-31,Company 10,4.090909090909091,2
2023-01-31,Company 12,2.903225806451613,2
2023-01-31,Company 4,1.763157894736842,2
2023-01-31,Company 5,3.0,2
2023-01-31,Company 6,1.9206349206349207,2
2023-02-28,Company 1,11.5,2
2023-02-28,Company 10,7.0,2
2023-02-28,Company 12,8.666666666666666,2
2023-02-28,Company 13,2.0,2
2023-02-28,Company 3,0.0,2
2023-02-28,Company 4,1.8048780487804879,2
2023-02-28,Company 5,2.5,2
2023-02-28,Company 6,3.760869565217391,2
2023-03-31,Company 1,0.0,2
2023-03-31,Company 10,4.0,2
2023-03-31,Company 12,2.0,2
2023-03-31,Company 4,1.3846153846153846,2
2023-03-31,Company 6,8.5,2
2019-09-30,All,0.525,2
2019-10-31,All,3.0568181818181817,2
2019-11-30,All,3.4008264462809916,2
2019-12-31,All,4.065573770491803,2
2020-01-31,All,2.777511961722488,2
2020-02-29,All,3.1983914209115283,2
2020-03-31,All,2.710594315245478,2
2020-04-30,All,2.9766081871345027,2
2020-05-31,All,2.781931464174455,2
2020-06-30,All,2.6519823788546257,2
2020-07-31,All,2.415335463258786,2
2020-08-31,All,3.2285714285714286,2
2020-09-30,All,3.2261904761904763,2
2020-10-31,All,2.619496855345912,2
2020-11-30,All,2.9656652360515023,2
2020-12-31,All,4.920454545454546,2
2021-01-31,All,3.2116788321167884,2
2021-02-28,All,2.7747440273037545,2
2021-03-31,All,2.7253886010362693,2
2021-04-30,All,3.1554878048780486,2
2021-05-31,All,3.036827195467422,2
2021-06-30,All,2.8675496688741724,2
2021-07-31,All,2.465069860279441,2
2021-08-31,All,3.021551724137931,2
2021-09-30,All,2.6256410256410256,2
2021-10-31,All,2.018099547511312,2
2021-11-30,All,3.308056872037915,2
2021-12-31,All,3.35,2
2022-01-31,All,2.514705882352941,2
2022-02-28,All,2.6818181818181817,2
2022-03-31,All,2.9484126984126986,2
2022-04-30,All,2.7484662576687118,2
2022-05-31,All,2.948051948051948,2
2022-06-30,All,2.492146596858639,2
2022-07-31,All,3.9345238095238093,2
2022-08-31,All,3.7177914110429446,2
2022-09-30,All,2.8289473684210527,2
2022-10-31,All,3.4545454545454546,2
2022-11-30,All,3.4893617021276597,2
2022-12-31,All,6.224489795918367,2
2023-01-31,All,2.2482758620689656,2
2023-02-28,All,3.965217391304348,2
2023-03-31,All,3.5172413793103448,2
2019-09-30,Holding Org 1,0.3333333333333333,2
2019-10-31,Holding Org 1,2.3469387755102042,2
2019-11-30,Holding Org 1,3.9361702127659575,2
2019-12-31,Holding Org 1,3.840909090909091,2
2020-01-31,Holding Org 1,3.215686274509804,2
2020-02-29,Holding Org 1,3.564516129032258,2
2020-03-31,Holding Org 1,3.530201342281879,2
2020-04-30,Holding Org 1,3.283464566929134,2
2020-05-31,Holding Org 1,3.094488188976378,2
2020-06-30,Holding Org 1,2.073170731707317,2
2020-07-31,Holding Org 1,1.3246753246753247,2
2020-08-31,Holding Org 1,2.550724637681159,2
2020-09-30,Holding Org 1,1.7384615384615385,2
2020-10-31,Holding Org 1,1.702970297029703,2
2020-11-30,Holding Org 1,1.964705882352941,2
2020-12-31,Holding Org 1,3.2,2
2021-01-31,Holding Org 1,1.4565217391304348,2
2021-02-28,Holding Org 1,1.75,2
2021-03-31,Holding Org 1,1.930232558139535,2
2021-04-30,Holding Org 1,1.1764705882352942,2
2021-05-31,Holding Org 1,2.0634920634920637,2
2021-06-30,Holding Org 1,1.8888888888888888,2
2021-07-31,Holding Org 1,1.9264705882352942,2
2021-08-31,Holding Org 1,1.9189189189189189,2
2021-09-30,Holding Org 1,2.6486486486486487,2
2021-10-31,Holding Org 1,1.9574468085106382,2
2021-11-30,Holding Org 1,2.16,2
2021-12-31,Holding Org 1,2.3469387755102042,2
2022-01-31,Holding Org 1,2.4556962025316458,2
2022-02-28,Holding Org 1,1.7066666666666668,2
2022-03-31,Holding Org 1,2.2446043165467624,2
2022-04-30,Holding Org 1,2.1492537313432836,2
2022-05-31,Holding Org 1,2.3877551020408165,2
2022-06-30,Holding Org 1,1.8333333333333333,2
2022-07-31,Holding Org 1,3.757575757575758,2
2022-08-31,Holding Org 1,3.6530612244897958,2
2022-09-30,Holding Org 1,3.607142857142857,2
2022-10-31,Holding Org 1,3.230769230769231,2
2022-11-30,Holding Org 1,2.8727272727272726,2
2022-12-31,Holding Org 1,1.6585365853658536,2
2023-01-31,Holding Org 1,1.75,2
2023-02-28,Holding Org 1,2.217391304347826,2
2023-03-31,Holding Org 1,1.2857142857142858,2
2019-09-30,Holding Org 2,0.5882352941176471,2
2019-10-31,Holding Org 2,2.380434782608696,2
2019-11-30,Holding Org 2,2.076923076923077,2
2019-12-31,Holding Org 2,3.2058823529411766,2
2020-01-31,Holding Org 2,2.118181818181818,2
2020-02-29,Holding Org 2,1.5625,2
2020-03-31,Holding Org 2,1.5,2
2020-04-30,Holding Org 2,2.140845070422535,2
2020-05-31,Holding Org 2,2.015625,2
2020-06-30,Holding Org 2,1.3725490196078431,2
2020-07-31,Holding Org 2,2.578125,2
2020-08-31,Holding Org 2,3.466666666666667,2
2020-09-30,Holding Org 2,3.581818181818182,2
2020-10-31,Holding Org 2,1.878787878787879,2
2020-11-30,Holding Org 2,3.849056603773585,2
2020-12-31,Holding Org 2,7.676470588235294,2
2021-01-31,Holding Org 2,4.1875,2
2021-02-28,Holding Org 2,2.7,2
2021-03-31,Holding Org 2,3.169811320754717,2
2021-04-30,Holding Org 2,5.170731707317073,2
2021-05-31,Holding Org 2,5.08,2
2021-06-30,Holding Org 2,4.483870967741935,2
2021-07-31,Holding Org 2,4.523809523809524,2
2021-08-31,Holding Org 2,5.72,2
2021-09-30,Holding Org 2,2.6666666666666665,2
2021-10-31,Holding Org 2,2.128205128205128,2
2021-11-30,Holding Org 2,5.136363636363637,2
2021-12-31,Holding Org 2,6.448275862068965,2
2022-01-31,Holding Org 2,3.787878787878788,2
2022-02-28,Holding Org 2,4.387096774193548,2
2022-03-31,Holding Org 2,4.228571428571429,2
2022-04-30,Holding Org 2,5.518518518518518,2
2022-05-31,Holding Org 2,5.366666666666666,2
2022-06-30,Holding Org 2,8.5,2
2022-07-31,Holding Org 2,3.739130434782609,2
2022-08-31,Holding Org 2,4.4411764705882355,2
2022-09-30,Holding Org 2,2.5555555555555554,2
2022-10-31,Holding Org 2,3.55,2
2022-11-30,Holding Org 2,5.681818181818182,2
2022-12-31,Holding Org 2,6.45,2
2023-01-31,Holding Org 2,2.903225806451613,2
2023-02-28,Holding Org 2,8.25,2
2023-03-31,Holding Org 2,2.0,2
2019-09-30,Holding Org 3,0.5294117647058824,2
2019-10-31,Holding Org 3,3.845528455284553,2
2019-11-30,Holding Org 3,3.8692307692307693,2
2019-12-31,Holding Org 3,5.028169014084507,2
2020-01-31,Holding Org 3,2.912621359223301,2
2020-02-29,Holding Org 3,3.9281045751633985,2
2020-03-31,Holding Org 3,2.5121951219512195,2
2020-04-30,Holding Org 3,3.1180555555555554,2
2020-05-31,Holding Org 3,2.853846153846154,2
2020-06-30,Holding Org 3,3.580808080808081,2
2020-07-31,Holding Org 3,2.8430232558139537,2
2020-08-31,Holding Org 3,3.443708609271523,2
2020-09-30,Holding Org 3,3.5833333333333335,2
2020-10-31,Holding Org 3,3.556291390728477,2
2020-11-30,Holding Org 3,3.3684210526315788,2
2020-12-31,Holding Org 3,5.447761194029851,2
2021-01-31,Holding Org 3,4.067164179104478,2
2021-02-28,Holding Org 3,3.301775147928994,2
2021-03-31,Holding Org 3,3.1127450980392157,2
2021-04-30,Holding Org 3,3.5792079207920793,2
2021-05-31,Holding Org 3,3.0754716981132075,2
2021-06-30,Holding Org 3,2.9257142857142857,2
2021-07-31,Holding Org 3,2.337595907928389,2
2021-08-31,Holding Org 3,2.5277777777777777,2
2021-09-30,Holding Org 3,2.588235294117647,2
2021-10-31,Holding Org 3,2.034090909090909,2
2021-11-30,Holding Org 3,3.369565217391304,2
2021-12-31,Holding Org 3,2.693548387096774,2
2022-01-31,Holding Org 3,2.108695652173913,2
2022-02-28,Holding Org 3,2.9714285714285715,2
2022-03-31,Holding Org 3,3.628205128205128,2
2022-04-30,Holding Org 3,2.246376811594203,2
2022-05-31,Holding Org 3,2.3466666666666667,2
2022-06-30,Holding Org 3,1.7619047619047619,2
2022-07-31,Holding Org 3,4.139240506329114,2
2022-08-31,Holding Org 3,3.45,2
2022-09-30,Holding Org 3,2.3043478260869565,2
2022-10-31,Holding Org 3,3.564516129032258,2
2022-11-30,Holding Org 3,3.265625,2
2022-12-31,Holding Org 3,11.162162162162161,2
2023-01-31,Holding Org 3,2.2432432432432434,2
2023-02-28,Holding Org 3,4.188679245283019,2
2023-03-31,Holding Org 3,8.0,2
